contractSymbol,openInterest,volume,snapshot_date
BE260918C00030000,28.0,11.0,2026-09-17
BE260918P00030000,163.0,0.0,2026-09-17
BE260918C00035000,31.0,56.0,2026-09-17
BE260918P00035000,100.0,0.0,2026-09-17
BE260918C00040000,14.0,45.0,2026-09-17
BE260918P00040000,258.0,0.0,2026-09-17
BE260918C00045000,40.0,2.0,2026-09-17
BE260918P00045000,412.0,0.0,2026-09-17
BE260918C00050000,76.0,2.0,2026-09-17
BE260918P00050000,400.0,1.0,2026-09-17
BE260918C00055000,141.0,6.0,2026-09-17
BE260918P00055000,557.0,0.0,2026-09-17
BE260918C00060000,41.0,8.0,2026-09-17
BE260918P00060000,193.0,0.0,2026-09-17
BE260918C00065000,20.0,2.0,2026-09-17
BE260918P00065000,296.0,0.0,2026-09-17
BE260918C00070000,39.0,1.0,2026-09-17
BE260918P00070000,552.0,0.0,2026-09-17
BE260918C00075000,49.0,6.0,2026-09-17
BE260918P00075000,206.0,0.0,2026-09-17
BE260918C00080000,32.0,42.0,2026-09-17
BE260918P00080000,6787.0,0.0,2026-09-17
BE260918C00085000,160.0,36.0,2026-09-17
BE260918P00085000,709.0,0.0,2026-09-17
BE260918C00090000,130.0,0.0,2026-09-17
BE260918P00090000,657.0,0.0,2026-09-17
BE260918C00095000,84.0,2.0,2026-09-17
BE260918P00095000,794.0,0.0,2026-09-17
BE260918C00100000,77.0,2.0,2026-09-17
BE260918P00100000,4418.0,69.0,2026-09-17
BE260918C00105000,97.0,1.0,2026-09-17
BE260918P00105000,2308.0,0.0,2026-09-17
BE260918C00110000,104.0,0.0,2026-09-17
BE260918P00110000,727.0,7.0,2026-09-17
BE260918C00115000,81.0,0.0,2026-09-17
BE260918P00115000,500.0,4.0,2026-09-17
BE260918C00120000,202.0,0.0,2026-09-17
BE260918P00120000,5124.0,9.0,2026-09-17
BE260918C00125000,100.0,0.0,2026-09-17
BE260918P00125000,1444.0,7.0,2026-09-17
BE260918C00130000,218.0,0.0,2026-09-17
BE260918P00130000,1909.0,10.0,2026-09-17
BE260918C00135000,55.0,0.0,2026-09-17
BE260918P00135000,2855.0,128.0,2026-09-17
BE260918C00140000,410.0,0.0,2026-09-17
BE260918P00140000,3196.0,169.0,2026-09-17
BE260918C00145000,68.0,4.0,2026-09-17
BE260918P00145000,5200.0,276.0,2026-09-17
BE260918C00150000,506.0,0.0,2026-09-17
BE260918P00150000,2656.0,25.0,2026-09-17
BE260918C00155000,143.0,1.0,2026-09-17
BE260918P00155000,3458.0,178.0,2026-09-17
BE260918C00160000,415.0,1.0,2026-09-17
BE260918P00160000,5071.0,162.0,2026-09-17
BE260918C00165000,354.0,0.0,2026-09-17
BE260918P00165000,1491.0,34.0,2026-09-17
BE260918C00170000,323.0,8.0,2026-09-17
BE260918P00170000,4132.0,63.0,2026-09-17
BE260918C00175000,716.0,4.0,2026-09-17
BE260918P00175000,1805.0,30.0,2026-09-17
BE260918C00177500,69.0,0.0,2026-09-17
BE260918P00177500,236.0,257.0,2026-09-17
BE260918C00180000,524.0,11.0,2026-09-17
BE260918P00180000,5309.0,45.0,2026-09-17
BE260918C00182500,325.0,0.0,2026-09-17
BE260918P00182500,355.0,14.0,2026-09-17
BE260918C00185000,329.0,2.0,2026-09-17
BE260918P00185000,1102.0,28.0,2026-09-17
BE260918C00187500,64.0,0.0,2026-09-17
BE260918P00187500,599.0,48.0,2026-09-17
BE260918C00190000,253.0,54.0,2026-09-17
BE260918P00190000,3174.0,215.0,2026-09-17
BE260918C00192500,132.0,2.0,2026-09-17
BE260918P00192500,327.0,9.0,2026-09-17
BE260918C00195000,354.0,3.0,2026-09-17
BE260918P00195000,1351.0,129.0,2026-09-17
BE260918C00197500,81.0,0.0,2026-09-17
BE260918P00197500,322.0,32.0,2026-09-17
BE260918C00200000,1565.0,49.0,2026-09-17
