contractSymbol,openInterest,volume,snapshot_date
CCO260918C00000500,0.0,0,2026-08-30
CCO260918P00000500,0.0,0,2026-08-30
CCO260918C00001000,0.0,0,2026-08-30
CCO260918P00001000,0.0,0,2026-08-30
CCO260918C00001500,0.0,0,2026-08-30
CCO260918P00001500,1.0,0,2026-08-30
CCO260918C00002000,35.0,0,2026-08-30
CCO260918P00002000,116.0,0,2026-08-30
CCO260918C00003000,378.0,0,2026-08-30
CCO260918P00003000,0.0,0,2026-08-30
CCO260918C00004000,0.0,0,2026-08-30
CCO260918P00004000,0.0,0,2026-08-30
CCO260918C00005000,0.0,0,2026-08-30
CCO260918P00005000,0.0,0,2026-08-30
