contractSymbol,openInterest,volume,snapshot_date
COIN260904C00040000,0.0,18.0,2026-09-03
COIN260904P00040000,291.0,0.0,2026-09-03
COIN260904C00045000,0.0,22.0,2026-09-03
COIN260904P00045000,60.0,0.0,2026-09-03
COIN260904C00050000,28.0,32.0,2026-09-03
COIN260904P00050000,126.0,0.0,2026-09-03
COIN260904C00055000,21.0,28.0,2026-09-03
COIN260904P00055000,16.0,0.0,2026-09-03
COIN260904C00060000,19.0,8.0,2026-09-03
COIN260904P00060000,519.0,0.0,2026-09-03
COIN260904C00065000,20.0,8.0,2026-09-03
COIN260904P00065000,30.0,0.0,2026-09-03
COIN260904C00070000,5.0,7.0,2026-09-03
COIN260904P00070000,158.0,0.0,2026-09-03
COIN260904C00075000,135.0,66.0,2026-09-03
COIN260904P00075000,52.0,0.0,2026-09-03
COIN260904C00080000,50.0,11.0,2026-09-03
COIN260904P00080000,13.0,0.0,2026-09-03
COIN260904C00085000,87.0,277.0,2026-09-03
COIN260904P00085000,220.0,0.0,2026-09-03
COIN260904C00090000,59.0,31.0,2026-09-03
COIN260904P00090000,1827.0,0.0,2026-09-03
COIN260904C00095000,49.0,247.0,2026-09-03
COIN260904P00095000,55.0,0.0,2026-09-03
COIN260904C00100000,5.0,38.0,2026-09-03
COIN260904P00100000,1066.0,0.0,2026-09-03
COIN260904C00105000,0.0,35.0,2026-09-03
COIN260904P00105000,459.0,0.0,2026-09-03
COIN260904C00110000,0.0,0.0,2026-09-03
COIN260904P00110000,639.0,1.0,2026-09-03
COIN260904C00115000,4.0,0.0,2026-09-03
COIN260904P00115000,1552.0,5.0,2026-09-03
COIN260904C00120000,24.0,0.0,2026-09-03
COIN260904P00120000,815.0,0.0,2026-09-03
COIN260904C00122000,1.0,0.0,2026-09-03
COIN260904P00122000,54.0,0.0,2026-09-03
COIN260904C00123000,5.0,0.0,2026-09-03
COIN260904P00123000,33.0,0.0,2026-09-03
COIN260904C00124000,10.0,0.0,2026-09-03
COIN260904P00124000,35.0,0.0,2026-09-03
COIN260904C00125000,20.0,4.0,2026-09-03
COIN260904P00125000,495.0,5.0,2026-09-03
COIN260904C00126000,12.0,2.0,2026-09-03
COIN260904P00126000,24.0,0.0,2026-09-03
COIN260904C00127000,1.0,0.0,2026-09-03
COIN260904P00127000,11.0,0.0,2026-09-03
COIN260904C00128000,1.0,0.0,2026-09-03
COIN260904P00128000,78.0,69.0,2026-09-03
COIN260904C00129000,3.0,0.0,2026-09-03
COIN260904P00129000,29.0,0.0,2026-09-03
COIN260904C00130000,17.0,1.0,2026-09-03
COIN260904P00130000,770.0,29.0,2026-09-03
COIN260904C00131000,7.0,0.0,2026-09-03
COIN260904P00131000,20.0,0.0,2026-09-03
COIN260904C00132000,7.0,0.0,2026-09-03
COIN260904P00132000,49.0,0.0,2026-09-03
COIN260904C00133000,2.0,0.0,2026-09-03
COIN260904P00133000,87.0,145.0,2026-09-03
COIN260904C00134000,2.0,0.0,2026-09-03
COIN260904P00134000,83.0,11.0,2026-09-03
COIN260904C00135000,59.0,0.0,2026-09-03
COIN260904P00135000,925.0,116.0,2026-09-03
COIN260904C00136000,10.0,0.0,2026-09-03
COIN260904P00136000,61.0,2.0,2026-09-03
COIN260904C00137000,10.0,0.0,2026-09-03
COIN260904P00137000,121.0,75.0,2026-09-03
COIN260904C00138000,10.0,3.0,2026-09-03
COIN260904P00138000,897.0,88.0,2026-09-03
COIN260904C00139000,4.0,0.0,2026-09-03
COIN260904P00139000,270.0,156.0,2026-09-03
COIN260904C00140000,146.0,1.0,2026-09-03
COIN260904P00140000,2416.0,40.0,2026-09-03
COIN260904C00141000,10.0,1.0,2026-09-03
COIN260904P00141000,428.0,1.0,2026-09-03
COIN260904C00142000,3.0,4.0,2026-09-03
COIN260904P00142000,108.0,4.0,2026-09-03
COIN260904C00143000,5.0,98.0,2026-09-03
COIN260904P00143000,55.0,1.0,2026-09-03
COIN260904C00144000,6.0,96.0,2026-09-03
COIN260904P00144000,268.0,0.0,2026-09-03
COIN260904C00145000,316.0,16.0,2026-09-03
COIN260904P00145000,540.0,260.0,2026-09-03
COIN260904C00146000,409.0,12.0,2026-09-03
COIN260904P00146000,492.0,106.0,2026-09-03
COIN260904C00147000,56.0,0.0,2026-09-03
COIN260904P00147000,242.0,75.0,2026-09-03
COIN260904C00148000,114.0,0.0,2026-09-03
COIN260904P00148000,443.0,55.0,2026-09-03
COIN260904C00149000,76.0,1.0,2026-09-03
COIN260904P00149000,713.0,167.0,2026-09-03
COIN260904C00150000,597.0,7.0,2026-09-03
COIN260904P00150000,932.0,425.0,2026-09-03
COIN260904C00152500,366.0,6.0,2026-09-03
COIN260904P00152500,317.0,40.0,2026-09-03
COIN260904C00155000,1043.0,16.0,2026-09-03
COIN260904P00155000,1428.0,317.0,2026-09-03
COIN260904C00157500,310.0,18.0,2026-09-03
COIN260904P00157500,278.0,117.0,2026-09-03
COIN260904C00160000,254.0,21.0,2026-09-03
COIN260904P00160000,1116.0,295.0,2026-09-03
COIN260904C00162500,1113.0,17.0,2026-09-03
COIN260904P00162500,711.0,338.0,2026-09-03
COIN260904C00165000,228.0,31.0,2026-09-03
COIN260904P00165000,1475.0,648.0,2026-09-03
COIN260904C00167500,141.0,14.0,2026-09-03
COIN260904P00167500,1409.0,414.0,2026-09-03
COIN260904C00170000,732.0,122.0,2026-09-03
COIN260904P00170000,2060.0,1083.0,2026-09-03
COIN260904C00172500,1003.0,30.0,2026-09-03
COIN260904P00172500,1564.0,471.0,2026-09-03
COIN260904C00175000,539.0,258.0,2026-09-03
COIN260904P00175000,1944.0,1171.0,2026-09-03
COIN260904C00177500,841.0,734.0,2026-09-03
COIN260904P00177500,1465.0,1957.0,2026-09-03
COIN260904C00180000,2764.0,1943.0,2026-09-03
COIN260904P00180000,2285.0,3888.0,2026-09-03
COIN260904C00182500,1001.0,1118.0,2026-09-03
COIN260904P00182500,930.0,1816.0,2026-09-03
COIN260904C00185000,7039.0,5405.0,2026-09-03
COIN260904P00185000,2381.0,8284.0,2026-09-03
COIN260904C00187500,1892.0,3597.0,2026-09-03
COIN260904P00187500,780.0,1814.0,2026-09-03
COIN260904C00190000,7099.0,9739.0,2026-09-03
COIN260904P00190000,1171.0,4587.0,2026-09-03
COIN260904C00192500,5372.0,7448.0,2026-09-03
COIN260904P00192500,277.0,1132.0,2026-09-03
COIN260904C00195000,8661.0,10009.0,2026-09-03
COIN260904P00195000,100.0,532.0,2026-09-03
COIN260904C00197500,817.0,7582.0,2026-09-03
COIN260904P00197500,218.0,361.0,2026-09-03
COIN260904C00200000,9108.0,14609.0,2026-09-03
COIN260904P00200000,84.0,288.0,2026-09-03
COIN260904C00202500,7328.0,3108.0,2026-09-03
COIN260904P00202500,17.0,25.0,2026-09-03
COIN260904C00205000,1378.0,2802.0,2026-09-03
COIN260904P00205000,207.0,133.0,2026-09-03
COIN260904C00207500,319.0,895.0,2026-09-03
COIN260904P00207500,6.0,1.0,2026-09-03
COIN260904C00210000,3376.0,2955.0,2026-09-03
COIN260904P00210000,28.0,2.0,2026-09-03
COIN260904C00212500,344.0,462.0,2026-09-03
COIN260904P00212500,0.0,3.0,2026-09-03
COIN260904C00215000,1149.0,771.0,2026-09-03
COIN260904P00215000,0.0,0.0,2026-09-03
COIN260904C00217500,269.0,203.0,2026-09-03
COIN260904P00217500,0.0,1.0,2026-09-03
COIN260904C00220000,1593.0,1667.0,2026-09-03
COIN260904P00220000,5.0,0.0,2026-09-03
COIN260904C00222500,351.0,142.0,2026-09-03
COIN260904P00222500,0.0,0.0,2026-09-03
COIN260904C00225000,438.0,162.0,2026-09-03
COIN260904P00225000,0.0,2.0,2026-09-03
COIN260904C00227500,86.0,19.0,2026-09-03
COIN260904P00227500,0.0,0.0,2026-09-03
COIN260904C00230000,1801.0,74.0,2026-09-03
COIN260904P00230000,0.0,0.0,2026-09-03
COIN260904C00232500,157.0,13.0,2026-09-03
COIN260904P00232500,0.0,0.0,2026-09-03
COIN260904C00235000,148.0,121.0,2026-09-03
COIN260904P00235000,0.0,0.0,2026-09-03
COIN260904C00237500,56.0,26.0,2026-09-03
COIN260904P00237500,0.0,0.0,2026-09-03
COIN260904C00240000,1070.0,46.0,2026-09-03
COIN260904P00240000,0.0,0.0,2026-09-03
COIN260904C00242500,116.0,1.0,2026-09-03
COIN260904P00242500,0.0,0.0,2026-09-03
COIN260904C00245000,336.0,4.0,2026-09-03
COIN260904P00245000,0.0,0.0,2026-09-03
