contractSymbol,openInterest,volume,snapshot_date
GDX260814C00025000,7,5.0,2026-08-11
GDX260814C00030000,8,6.0,2026-08-11
GDX260814C00035000,2,371.0,2026-08-11
GDX260814C00045000,104,358.0,2026-08-11
GDX260814C00050000,77,371.0,2026-08-11
GDX260814C00055000,95,100.0,2026-08-11
GDX260814C00060000,49,78.0,2026-08-11
GDX260814C00063000,39,206.0,2026-08-11
GDX260814C00064000,74,201.0,2026-08-11
GDX260814C00065000,81,29.0,2026-08-11
GDX260814C00066000,26,6.0,2026-08-11
GDX260814C00067000,39,9.0,2026-08-11
GDX260814C00069000,59,4.0,2026-08-11
GDX260814C00069500,27,1.0,2026-08-11
GDX260814C00070000,195,4.0,2026-08-11
GDX260814C00070500,108,5.0,2026-08-11
GDX260814C00071000,58,2.0,2026-08-11
GDX260814C00071500,10,10.0,2026-08-11
GDX260814C00072000,77,17.0,2026-08-11
GDX260814C00072500,93,10.0,2026-08-11
GDX260814C00073000,48,21.0,2026-08-11
GDX260814C00073500,20,33.0,2026-08-11
GDX260814C00074000,122,20.0,2026-08-11
GDX260814C00074500,19,11.0,2026-08-11
GDX260814C00075000,289,14.0,2026-08-11
GDX260814C00075500,20,9.0,2026-08-11
GDX260814C00076000,118,9.0,2026-08-11
GDX260814C00076500,109,33.0,2026-08-11
GDX260814C00077000,306,29.0,2026-08-11
GDX260814C00077500,82,37.0,2026-08-11
GDX260814C00078000,326,69.0,2026-08-11
GDX260814C00078500,169,48.0,2026-08-11
GDX260814C00079000,1250,18.0,2026-08-11
GDX260814C00079500,83,8.0,2026-08-11
GDX260814C00080000,1120,5.0,2026-08-11
GDX260814C00080500,48,10.0,2026-08-11
GDX260814C00081000,1014,3.0,2026-08-11
GDX260814C00081500,138,3.0,2026-08-11
GDX260814C00082000,1006,42.0,2026-08-11
GDX260814C00083000,564,50.0,2026-08-11
GDX260814C00084000,209,6.0,2026-08-11
GDX260814C00085000,6073,65.0,2026-08-11
GDX260814C00086000,12289,587.0,2026-08-11
GDX260814C00087000,4252,28.0,2026-08-11
GDX260814C00088000,3937,137.0,2026-08-11
GDX260814C00089000,3522,99.0,2026-08-11
GDX260814C00090000,17923,3692.0,2026-08-11
GDX260814C00091000,13231,798.0,2026-08-11
GDX260814C00092000,1934,399.0,2026-08-11
GDX260814C00093000,482,383.0,2026-08-11
GDX260814C00094000,15501,412.0,2026-08-11
GDX260814C00095000,8767,5690.0,2026-08-11
GDX260814C00096000,720,28.0,2026-08-11
GDX260814C00097000,226,18.0,2026-08-11
GDX260814C00098000,43,28.0,2026-08-11
GDX260814C00099000,55,8.0,2026-08-11
GDX260814C00100000,284,177.0,2026-08-11
GDX260814C00105000,57,6.0,2026-08-11
GDX260814P00025000,7,0.0,2026-08-11
GDX260814P00040000,1,1.0,2026-08-11
GDX260814P00045000,1,0.0,2026-08-11
GDX260814P00050000,3,0.0,2026-08-11
GDX260814P00055000,5,1.0,2026-08-11
GDX260814P00060000,4547,4300.0,2026-08-11
GDX260814P00061000,75,2.0,2026-08-11
GDX260814P00062000,7,0.0,2026-08-11
GDX260814P00063000,14,1.0,2026-08-11
GDX260814P00064000,6,1.0,2026-08-11
GDX260814P00065000,158,10.0,2026-08-11
GDX260814P00066000,3044,4.0,2026-08-11
GDX260814P00067000,410,2.0,2026-08-11
GDX260814P00068000,519,2.0,2026-08-11
GDX260814P00069000,2163,5.0,2026-08-11
GDX260814P00069500,16,10.0,2026-08-11
GDX260814P00070000,6148,6.0,2026-08-11
GDX260814P00070500,46,1.0,2026-08-11
GDX260814P00071000,550,16.0,2026-08-11
GDX260814P00071500,2821,1.0,2026-08-11
GDX260814P00072000,127,8.0,2026-08-11
GDX260814P00072500,46,32.0,2026-08-11
GDX260814P00073000,1326,1.0,2026-08-11
GDX260814P00073500,51,3.0,2026-08-11
GDX260814P00074000,40,7.0,2026-08-11
GDX260814P00074500,21,6.0,2026-08-11
GDX260814P00075000,11116,2.0,2026-08-11
GDX260814P00075500,9,1.0,2026-08-11
GDX260814P00076000,153,3.0,2026-08-11
GDX260814P00076500,37,36.0,2026-08-11
GDX260814P00077000,80,5.0,2026-08-11
GDX260814P00077500,30,17.0,2026-08-11
GDX260814P00078000,730,2.0,2026-08-11
GDX260814P00078500,33,2.0,2026-08-11
GDX260814P00079000,253,2.0,2026-08-11
GDX260814P00079500,14,2.0,2026-08-11
GDX260814P00080000,970,18.0,2026-08-11
GDX260814P00080500,29,2.0,2026-08-11
GDX260814P00081000,2114,1577.0,2026-08-11
GDX260814P00081500,21,1407.0,2026-08-11
GDX260814P00082000,328,16.0,2026-08-11
GDX260814P00083000,6849,175.0,2026-08-11
GDX260814P00084000,3613,1605.0,2026-08-11
GDX260814P00085000,7065,2232.0,2026-08-11
GDX260814P00086000,834,1920.0,2026-08-11
GDX260814P00087000,5082,1875.0,2026-08-11
GDX260814P00088000,2553,986.0,2026-08-11
GDX260814P00089000,291,488.0,2026-08-11
GDX260814P00090000,712,669.0,2026-08-11
GDX260814P00091000,6,11.0,2026-08-11
GDX260814P00092000,66,21.0,2026-08-11
GDX260814P00093000,100,100.0,2026-08-11
GDX260814P00095000,31,30.0,2026-08-11
GDX260814P00096000,51,25.0,2026-08-11
GDX260814P00100000,7,1.0,2026-08-11
GDX260821C00040000,31,2.0,2026-08-11
GDX260821C00041000,3,0.0,2026-08-11
GDX260821C00042000,4,0.0,2026-08-11
GDX260821C00043000,9,5.0,2026-08-11
GDX260821C00044000,2,2.0,2026-08-11
GDX260821C00045000,1,1.0,2026-08-11
GDX260821C00046000,1,1.0,2026-08-11
GDX260821C00047000,7,3.0,2026-08-11
GDX260821C00050000,92,2.0,2026-08-11
GDX260821C00051000,44,4.0,2026-08-11
GDX260821C00052000,40,2.0,2026-08-11
GDX260821C00053000,68,4.0,2026-08-11
GDX260821C00054000,0,4.0,2026-08-11
GDX260821C00055000,57,11.0,2026-08-11
GDX260821C00056000,16,14.0,2026-08-11
GDX260821C00057000,0,4.0,2026-08-11
GDX260821C00058000,77,5.0,2026-08-11
GDX260821C00059000,62,10.0,2026-08-11
GDX260821C00060000,124,5.0,2026-08-11
GDX260821C00061000,79,8.0,2026-08-11
GDX260821C00062000,32,10.0,2026-08-11
GDX260821C00063000,22,4.0,2026-08-11
GDX260821C00064000,55,1.0,2026-08-11
GDX260821C00065000,54,6.0,2026-08-11
GDX260821C00066000,25,3.0,2026-08-11
GDX260821C00067000,23,2.0,2026-08-11
GDX260821C00068000,160,46.0,2026-08-11
GDX260821C00069000,71,2.0,2026-08-11
GDX260821C00069500,9,2.0,2026-08-11
GDX260821C00070000,803,5.0,2026-08-11
GDX260821C00070500,27,2.0,2026-08-11
GDX260821C00071000,186,4.0,2026-08-11
GDX260821C00071500,31,2.0,2026-08-11
GDX260821C00072000,297,13.0,2026-08-11
GDX260821C00072500,232,9.0,2026-08-11
GDX260821C00073000,448,21.0,2026-08-11
GDX260821C00073500,89,2.0,2026-08-11
GDX260821C00074000,646,13.0,2026-08-11
GDX260821C00074500,119,18.0,2026-08-11
GDX260821C00075000,5073,33.0,2026-08-11
GDX260821C00075500,191,108.0,2026-08-11
