contractSymbol,openInterest,volume,snapshot_date
MP260918C00025000,13.0,5.0,2026-09-17
MP260918P00025000,781.0,0.0,2026-09-17
MP260918C00030000,133.0,57.0,2026-09-17
MP260918P00030000,4097.0,0.0,2026-09-17
MP260918C00035000,127.0,0.0,2026-09-17
MP260918P00035000,3117.0,0.0,2026-09-17
MP260918C00039000,1.0,6.0,2026-09-17
MP260918P00039000,0.0,250.0,2026-09-17
MP260918C00040000,478.0,19.0,2026-09-17
MP260918P00040000,6752.0,14.0,2026-09-17
MP260918C00041000,7.0,2.0,2026-09-17
MP260918P00041000,0.0,0.0,2026-09-17
MP260918C00042000,34.0,3.0,2026-09-17
MP260918P00042000,1.0,0.0,2026-09-17
MP260918C00043000,33.0,2.0,2026-09-17
MP260918P00043000,11.0,0.0,2026-09-17
MP260918C00044000,7.0,0.0,2026-09-17
MP260918P00044000,42.0,0.0,2026-09-17
MP260918C00045000,783.0,12.0,2026-09-17
MP260918P00045000,6743.0,56.0,2026-09-17
MP260918C00046000,16.0,2.0,2026-09-17
MP260918P00046000,289.0,475.0,2026-09-17
MP260918C00046500,0.0,2.0,2026-09-17
MP260918P00046500,15.0,85.0,2026-09-17
MP260918C00047000,17.0,2.0,2026-09-17
MP260918P00047000,351.0,435.0,2026-09-17
MP260918C00047500,1.0,0.0,2026-09-17
MP260918P00047500,75.0,38.0,2026-09-17
MP260918C00048000,218.0,85.0,2026-09-17
MP260918P00048000,756.0,144.0,2026-09-17
MP260918C00048500,14.0,2.0,2026-09-17
MP260918P00048500,259.0,103.0,2026-09-17
MP260918C00049000,247.0,199.0,2026-09-17
MP260918P00049000,875.0,315.0,2026-09-17
MP260918C00049500,59.0,144.0,2026-09-17
MP260918P00049500,49.0,18.0,2026-09-17
MP260918C00050000,1713.0,445.0,2026-09-17
MP260918P00050000,6170.0,1521.0,2026-09-17
MP260918C00051000,371.0,202.0,2026-09-17
MP260918P00051000,177.0,43.0,2026-09-17
MP260918C00052000,568.0,343.0,2026-09-17
MP260918P00052000,426.0,40.0,2026-09-17
MP260918C00053000,854.0,81.0,2026-09-17
MP260918P00053000,433.0,30.0,2026-09-17
MP260918C00054000,1640.0,119.0,2026-09-17
MP260918P00054000,223.0,28.0,2026-09-17
MP260918C00055000,4838.0,822.0,2026-09-17
MP260918P00055000,7607.0,280.0,2026-09-17
MP260918C00056000,736.0,55.0,2026-09-17
MP260918P00056000,59.0,88.0,2026-09-17
MP260918C00057000,494.0,44.0,2026-09-17
MP260918P00057000,69.0,137.0,2026-09-17
MP260918C00058000,389.0,12.0,2026-09-17
MP260918P00058000,24.0,100.0,2026-09-17
MP260918C00059000,636.0,14.0,2026-09-17
MP260918P00059000,31.0,2.0,2026-09-17
MP260918C00060000,6161.0,100.0,2026-09-17
MP260918P00060000,1345.0,956.0,2026-09-17
MP260918C00061000,1130.0,5.0,2026-09-17
MP260918P00061000,21.0,67.0,2026-09-17
MP260918C00062000,282.0,1.0,2026-09-17
MP260918P00062000,7.0,15.0,2026-09-17
MP260918C00063000,247.0,2.0,2026-09-17
MP260918P00063000,0.0,0.0,2026-09-17
MP260918C00064000,104.0,4.0,2026-09-17
MP260918P00064000,144.0,536.0,2026-09-17
MP260918C00065000,5119.0,76.0,2026-09-17
MP260918P00065000,160.0,23.0,2026-09-17
MP260918C00066000,158.0,16.0,2026-09-17
MP260918P00066000,0.0,0.0,2026-09-17
MP260918C00067000,90.0,3.0,2026-09-17
MP260918P00067000,1.0,0.0,2026-09-17
MP260918C00068000,100.0,0.0,2026-09-17
MP260918P00068000,1.0,0.0,2026-09-17
MP260918C00069000,87.0,2.0,2026-09-17
MP260918P00069000,0.0,1.0,2026-09-17
MP260918C00070000,6949.0,25.0,2026-09-17
MP260918P00070000,10.0,1.0,2026-09-17
MP260918C00071000,77.0,0.0,2026-09-17
MP260918P00071000,1.0,0.0,2026-09-17
MP260918C00075000,3168.0,19.0,2026-09-17
MP260918P00075000,0.0,0.0,2026-09-17
MP260918C00080000,3048.0,1.0,2026-09-17
MP260918P00080000,1.0,1.0,2026-09-17
MP260918C00085000,1621.0,3.0,2026-09-17
MP260918P00085000,0.0,0.0,2026-09-17
MP260918C00090000,1138.0,0.0,2026-09-17
MP260918P00090000,0.0,1.0,2026-09-17
MP260918C00095000,3818.0,0.0,2026-09-17
MP260918P00095000,0.0,0.0,2026-09-17
MP260918C00100000,4223.0,100.0,2026-09-17
MP260918P00100000,0.0,0.0,2026-09-17
MP260918C00105000,2355.0,0.0,2026-09-17
MP260918P00105000,0.0,0.0,2026-09-17
MP260925C00030000,0.0,0.0,2026-09-17
MP260925P00030000,4.0,0.0,2026-09-17
MP260925C00035000,2.0,0.0,2026-09-17
MP260925P00035000,14.0,0.0,2026-09-17
MP260925C00037000,1.0,0.0,2026-09-17
MP260925P00037000,0.0,0.0,2026-09-17
MP260925C00038000,1.0,0.0,2026-09-17
MP260925P00038000,7.0,0.0,2026-09-17
MP260925C00039000,0.0,0.0,2026-09-17
MP260925P00039000,3.0,0.0,2026-09-17
MP260925C00040000,8.0,0.0,2026-09-17
MP260925P00040000,58.0,90.0,2026-09-17
MP260925C00041000,0.0,0.0,2026-09-17
MP260925P00041000,54.0,0.0,2026-09-17
MP260925C00042000,2.0,0.0,2026-09-17
MP260925P00042000,1541.0,97.0,2026-09-17
MP260925C00043000,5.0,81.0,2026-09-17
MP260925P00043000,697.0,340.0,2026-09-17
MP260925C00043500,0.0,0.0,2026-09-17
MP260925P00043500,121.0,49.0,2026-09-17
MP260925C00044000,11.0,81.0,2026-09-17
MP260925P00044000,63.0,35.0,2026-09-17
MP260925C00044500,2.0,0.0,2026-09-17
MP260925P00044500,40.0,46.0,2026-09-17
MP260925C00045000,275.0,0.0,2026-09-17
MP260925P00045000,437.0,318.0,2026-09-17
MP260925C00045500,0.0,0.0,2026-09-17
MP260925P00045500,40.0,16.0,2026-09-17
MP260925C00046000,96.0,1.0,2026-09-17
MP260925P00046000,217.0,250.0,2026-09-17
MP260925C00046500,5.0,0.0,2026-09-17
MP260925P00046500,35.0,12.0,2026-09-17
MP260925C00047000,69.0,0.0,2026-09-17
MP260925P00047000,214.0,251.0,2026-09-17
MP260925C00047500,1.0,1.0,2026-09-17
MP260925P00047500,35.0,13.0,2026-09-17
MP260925C00048000,98.0,64.0,2026-09-17
MP260925P00048000,241.0,17.0,2026-09-17
MP260925C00048500,28.0,9.0,2026-09-17
MP260925P00048500,52.0,16.0,2026-09-17
MP260925C00049000,72.0,3.0,2026-09-17
MP260925P00049000,167.0,22.0,2026-09-17
MP260925C00049500,53.0,14.0,2026-09-17
MP260925P00049500,69.0,15.0,2026-09-17
MP260925C00050000,198.0,262.0,2026-09-17
MP260925P00050000,509.0,48.0,2026-09-17
MP260925C00051000,214.0,141.0,2026-09-17
MP260925P00051000,97.0,11.0,2026-09-17
