contractSymbol,openInterest,volume,snapshot_date
MSTR260911C00030000,5.0,0.0,2026-09-09
MSTR260911P00030000,152.0,1.0,2026-09-09
MSTR260911C00035000,1.0,0.0,2026-09-09
MSTR260911P00035000,47.0,0.0,2026-09-09
MSTR260911C00040000,2.0,0.0,2026-09-09
MSTR260911P00040000,1041.0,0.0,2026-09-09
MSTR260911C00045000,5779.0,0.0,2026-09-09
MSTR260911P00045000,1587.0,0.0,2026-09-09
MSTR260911C00050000,0.0,0.0,2026-09-09
MSTR260911P00050000,5717.0,0.0,2026-09-09
MSTR260911C00055000,5.0,0.0,2026-09-09
MSTR260911P00055000,6031.0,0.0,2026-09-09
MSTR260911C00060000,6.0,0.0,2026-09-09
MSTR260911P00060000,5843.0,32.0,2026-09-09
MSTR260911C00065000,5.0,0.0,2026-09-09
MSTR260911P00065000,5044.0,86.0,2026-09-09
MSTR260911C00070000,5.0,0.0,2026-09-09
MSTR260911P00070000,17218.0,465.0,2026-09-09
MSTR260911C00075000,3.0,0.0,2026-09-09
MSTR260911P00075000,5333.0,509.0,2026-09-09
MSTR260911C00080000,15.0,0.0,2026-09-09
MSTR260911P00080000,32783.0,1355.0,2026-09-09
MSTR260911C00083000,2.0,1.0,2026-09-09
MSTR260911P00083000,402.0,23.0,2026-09-09
MSTR260911C00084000,1.0,0.0,2026-09-09
MSTR260911P00084000,191.0,24.0,2026-09-09
MSTR260911C00085000,10.0,0.0,2026-09-09
MSTR260911P00085000,4321.0,9.0,2026-09-09
MSTR260911C00086000,2.0,0.0,2026-09-09
MSTR260911P00086000,337.0,122.0,2026-09-09
MSTR260911C00087000,19.0,9.0,2026-09-09
MSTR260911P00087000,410.0,54.0,2026-09-09
MSTR260911C00088000,56.0,0.0,2026-09-09
MSTR260911P00088000,375.0,14.0,2026-09-09
MSTR260911C00089000,11.0,7.0,2026-09-09
MSTR260911P00089000,56.0,3.0,2026-09-09
MSTR260911C00090000,46.0,0.0,2026-09-09
MSTR260911P00090000,1642.0,166.0,2026-09-09
MSTR260911C00091000,32.0,0.0,2026-09-09
MSTR260911P00091000,172.0,30.0,2026-09-09
MSTR260911C00092000,36.0,1.0,2026-09-09
MSTR260911P00092000,141.0,23.0,2026-09-09
MSTR260911C00093000,41.0,0.0,2026-09-09
MSTR260911P00093000,145.0,34.0,2026-09-09
MSTR260911C00094000,24.0,0.0,2026-09-09
MSTR260911P00094000,76.0,25.0,2026-09-09
MSTR260911C00095000,55.0,0.0,2026-09-09
MSTR260911P00095000,3699.0,1059.0,2026-09-09
MSTR260911C00096000,145.0,0.0,2026-09-09
MSTR260911P00096000,95.0,32.0,2026-09-09
MSTR260911C00097000,109.0,14.0,2026-09-09
MSTR260911P00097000,648.0,31.0,2026-09-09
MSTR260911C00098000,332.0,2.0,2026-09-09
MSTR260911P00098000,471.0,29.0,2026-09-09
MSTR260911C00099000,205.0,1.0,2026-09-09
MSTR260911P00099000,166.0,18.0,2026-09-09
MSTR260911C00100000,446.0,60.0,2026-09-09
MSTR260911P00100000,2356.0,215.0,2026-09-09
MSTR260911C00101000,74.0,4.0,2026-09-09
MSTR260911P00101000,73.0,0.0,2026-09-09
MSTR260911C00102000,140.0,3.0,2026-09-09
MSTR260911P00102000,624.0,3.0,2026-09-09
MSTR260911C00103000,585.0,4.0,2026-09-09
MSTR260911P00103000,109.0,13.0,2026-09-09
MSTR260911C00104000,318.0,1.0,2026-09-09
MSTR260911P00104000,107.0,32.0,2026-09-09
MSTR260911C00105000,632.0,9.0,2026-09-09
MSTR260911P00105000,5044.0,189.0,2026-09-09
