contractSymbol,openInterest,volume,snapshot_date
NBIS260911C00090000,2.0,0.0,2026-09-09
NBIS260911P00090000,1055.0,2.0,2026-09-09
NBIS260911C00095000,2.0,0.0,2026-09-09
NBIS260911P00095000,399.0,180.0,2026-09-09
NBIS260911C00100000,2.0,0.0,2026-09-09
NBIS260911P00100000,378.0,10.0,2026-09-09
NBIS260911C00105000,2.0,0.0,2026-09-09
NBIS260911P00105000,43.0,0.0,2026-09-09
NBIS260911C00110000,9.0,0.0,2026-09-09
NBIS260911P00110000,287.0,0.0,2026-09-09
NBIS260911C00115000,5.0,0.0,2026-09-09
NBIS260911P00115000,159.0,1.0,2026-09-09
NBIS260911C00120000,5.0,0.0,2026-09-09
NBIS260911P00120000,899.0,0.0,2026-09-09
NBIS260911C00125000,3.0,0.0,2026-09-09
NBIS260911P00125000,1265.0,4.0,2026-09-09
NBIS260911C00130000,8.0,0.0,2026-09-09
NBIS260911P00130000,377.0,81.0,2026-09-09
NBIS260911C00135000,1.0,0.0,2026-09-09
NBIS260911P00135000,190.0,60.0,2026-09-09
NBIS260911C00140000,2.0,0.0,2026-09-09
NBIS260911P00140000,1895.0,1400.0,2026-09-09
NBIS260911C00145000,6.0,1.0,2026-09-09
NBIS260911P00145000,173.0,19.0,2026-09-09
NBIS260911C00150000,23.0,20.0,2026-09-09
NBIS260911P00150000,822.0,2.0,2026-09-09
NBIS260911C00155000,5.0,0.0,2026-09-09
NBIS260911P00155000,460.0,11.0,2026-09-09
NBIS260911C00157500,0.0,0.0,2026-09-09
NBIS260911P00157500,147.0,23.0,2026-09-09
NBIS260911C00160000,95.0,81.0,2026-09-09
NBIS260911P00160000,948.0,139.0,2026-09-09
NBIS260911C00162500,1.0,0.0,2026-09-09
NBIS260911P00162500,470.0,332.0,2026-09-09
NBIS260911C00165000,6.0,0.0,2026-09-09
NBIS260911P00165000,861.0,46.0,2026-09-09
NBIS260911C00167500,0.0,0.0,2026-09-09
NBIS260911P00167500,314.0,14.0,2026-09-09
NBIS260911C00170000,7.0,0.0,2026-09-09
NBIS260911P00170000,1146.0,99.0,2026-09-09
NBIS260911C00172500,1.0,0.0,2026-09-09
NBIS260911P00172500,186.0,9.0,2026-09-09
NBIS260911C00175000,65.0,0.0,2026-09-09
NBIS260911P00175000,610.0,17.0,2026-09-09
NBIS260911C00177500,41.0,0.0,2026-09-09
NBIS260911P00177500,449.0,6.0,2026-09-09
NBIS260911C00180000,29.0,0.0,2026-09-09
NBIS260911P00180000,1799.0,124.0,2026-09-09
NBIS260911C00182500,28.0,1.0,2026-09-09
NBIS260911P00182500,989.0,11.0,2026-09-09
NBIS260911C00185000,64.0,0.0,2026-09-09
NBIS260911P00185000,894.0,29.0,2026-09-09
NBIS260911C00187500,43.0,0.0,2026-09-09
NBIS260911P00187500,1200.0,16.0,2026-09-09
NBIS260911C00190000,259.0,3.0,2026-09-09
NBIS260911P00190000,1309.0,113.0,2026-09-09
NBIS260911C00192500,54.0,0.0,2026-09-09
NBIS260911P00192500,416.0,15.0,2026-09-09
NBIS260911C00195000,1864.0,2.0,2026-09-09
NBIS260911P00195000,1460.0,280.0,2026-09-09
NBIS260911C00197500,21.0,0.0,2026-09-09
NBIS260911P00197500,623.0,48.0,2026-09-09
NBIS260911C00200000,472.0,17.0,2026-09-09
NBIS260911P00200000,2297.0,520.0,2026-09-09
NBIS260911C00202500,907.0,7.0,2026-09-09
NBIS260911P00202500,393.0,89.0,2026-09-09
NBIS260911C00205000,401.0,31.0,2026-09-09
NBIS260911P00205000,822.0,310.0,2026-09-09
NBIS260911C00207500,149.0,17.0,2026-09-09
NBIS260911P00207500,496.0,435.0,2026-09-09
NBIS260911C00210000,497.0,40.0,2026-09-09
NBIS260911P00210000,2535.0,800.0,2026-09-09
NBIS260911C00212500,123.0,46.0,2026-09-09
NBIS260911P00212500,1006.0,344.0,2026-09-09
NBIS260911C00215000,429.0,49.0,2026-09-09
NBIS260911P00215000,1052.0,367.0,2026-09-09
NBIS260911C00217500,277.0,13.0,2026-09-09
NBIS260911P00217500,531.0,184.0,2026-09-09
NBIS260911C00220000,4384.0,205.0,2026-09-09
NBIS260911P00220000,2320.0,720.0,2026-09-09
