contractSymbol,openInterest,volume,snapshot_date
NNE260911C00005000,2.0,2.0,2026-09-10
NNE260911P00005000,0.0,0.0,2026-09-10
NNE260911C00007000,3.0,3.0,2026-09-10
NNE260911P00007000,0.0,0.0,2026-09-10
NNE260911C00008000,1.0,0.0,2026-09-10
NNE260911P00008000,0.0,0.0,2026-09-10
NNE260911C00009000,6.0,3.0,2026-09-10
NNE260911P00009000,1.0,0.0,2026-09-10
NNE260911C00010000,4.0,2.0,2026-09-10
NNE260911P00010000,2.0,0.0,2026-09-10
NNE260911C00010500,2.0,1.0,2026-09-10
NNE260911P00010500,2.0,0.0,2026-09-10
NNE260911C00011000,1.0,1.0,2026-09-10
NNE260911P00011000,6.0,0.0,2026-09-10
NNE260911C00011500,4.0,2.0,2026-09-10
NNE260911P00011500,0.0,0.0,2026-09-10
NNE260911C00012000,2.0,1.0,2026-09-10
NNE260911P00012000,7.0,0.0,2026-09-10
NNE260911C00012500,5.0,2.0,2026-09-10
NNE260911P00012500,27.0,0.0,2026-09-10
NNE260911C00013000,19.0,0.0,2026-09-10
NNE260911P00013000,10.0,1.0,2026-09-10
NNE260911C00013500,20.0,0.0,2026-09-10
NNE260911P00013500,12.0,0.0,2026-09-10
NNE260911C00014000,3.0,0.0,2026-09-10
NNE260911P00014000,40.0,0.0,2026-09-10
NNE260911C00014500,2.0,0.0,2026-09-10
NNE260911P00014500,20.0,0.0,2026-09-10
NNE260911C00015000,1.0,0.0,2026-09-10
NNE260911P00015000,39.0,0.0,2026-09-10
NNE260911C00015500,3.0,0.0,2026-09-10
NNE260911P00015500,221.0,0.0,2026-09-10
NNE260911C00016000,9.0,0.0,2026-09-10
NNE260911P00016000,804.0,0.0,2026-09-10
NNE260911C00016500,6.0,1.0,2026-09-10
NNE260911P00016500,211.0,5.0,2026-09-10
NNE260911C00017000,14.0,0.0,2026-09-10
NNE260911P00017000,384.0,23.0,2026-09-10
NNE260911C00017500,61.0,10.0,2026-09-10
NNE260911P00017500,209.0,120.0,2026-09-10
NNE260911C00018000,227.0,5.0,2026-09-10
NNE260911P00018000,450.0,131.0,2026-09-10
NNE260911C00018500,163.0,5.0,2026-09-10
NNE260911P00018500,318.0,28.0,2026-09-10
NNE260911C00019000,567.0,77.0,2026-09-10
NNE260911P00019000,81.0,15.0,2026-09-10
NNE260911C00019500,389.0,61.0,2026-09-10
NNE260911P00019500,47.0,9.0,2026-09-10
NNE260911C00020000,842.0,148.0,2026-09-10
NNE260911P00020000,320.0,3.0,2026-09-10
NNE260911C00020500,349.0,16.0,2026-09-10
NNE260911P00020500,109.0,2.0,2026-09-10
NNE260911C00021000,577.0,14.0,2026-09-10
NNE260911P00021000,21.0,0.0,2026-09-10
NNE260911C00021500,260.0,2.0,2026-09-10
NNE260911P00021500,39.0,5.0,2026-09-10
NNE260911C00022000,393.0,0.0,2026-09-10
NNE260911P00022000,4.0,0.0,2026-09-10
NNE260911C00022500,107.0,0.0,2026-09-10
NNE260911P00022500,6.0,0.0,2026-09-10
NNE260911C00023000,188.0,0.0,2026-09-10
NNE260911P00023000,4.0,0.0,2026-09-10
NNE260911C00023500,6.0,0.0,2026-09-10
NNE260911P00023500,4.0,5.0,2026-09-10
NNE260911C00024000,1025.0,0.0,2026-09-10
NNE260911P00024000,21.0,2.0,2026-09-10
NNE260911C00024500,6.0,0.0,2026-09-10
NNE260911P00024500,2.0,0.0,2026-09-10
NNE260911C00025000,109.0,0.0,2026-09-10
NNE260911P00025000,2.0,0.0,2026-09-10
NNE260911C00025500,0.0,0.0,2026-09-10
NNE260911P00025500,5.0,0.0,2026-09-10
NNE260911C00026000,3.0,0.0,2026-09-10
NNE260911P00026000,4.0,0.0,2026-09-10
NNE260911C00026500,0.0,0.0,2026-09-10
NNE260911P00026500,14.0,0.0,2026-09-10
NNE260911C00027000,0.0,0.0,2026-09-10
NNE260911P00027000,6.0,0.0,2026-09-10
NNE260911C00027500,0.0,0.0,2026-09-10
NNE260911P00027500,5.0,0.0,2026-09-10
NNE260911C00028000,0.0,0.0,2026-09-10
NNE260911P00028000,3.0,1.0,2026-09-10
NNE260911C00030000,58.0,0.0,2026-09-10
NNE260911P00030000,1.0,0.0,2026-09-10
NNE260911C00035000,0.0,0.0,2026-09-10
NNE260911P00035000,1.0,0.0,2026-09-10
NNE260918C00001000,8.0,0.0,2026-09-10
NNE260918P00001000,2.0,0.0,2026-09-10
NNE260918C00002000,0.0,0.0,2026-09-10
NNE260918P00002000,1.0,0.0,2026-09-10
