contractSymbol,openInterest,volume,snapshot_date
NOW260911C00065000,42.0,0.0,2026-09-11
NOW260911P00065000,4.0,0.0,2026-09-11
NOW260911C00070000,36.0,3.0,2026-09-11
NOW260911P00070000,1.0,0.0,2026-09-11
NOW260911C00075000,34.0,3.0,2026-09-11
NOW260911P00075000,7.0,0.0,2026-09-11
NOW260911C00080000,63.0,1.0,2026-09-11
NOW260911P00080000,46.0,0.0,2026-09-11
NOW260911C00085000,80.0,3.0,2026-09-11
NOW260911P00085000,52.0,0.0,2026-09-11
NOW260911C00090000,226.0,3.0,2026-09-11
NOW260911P00090000,16.0,0.0,2026-09-11
NOW260911C00093000,179.0,1.0,2026-09-11
NOW260911P00093000,17.0,0.0,2026-09-11
NOW260911C00094000,62.0,5.0,2026-09-11
NOW260911P00094000,112.0,0.0,2026-09-11
NOW260911C00095000,59.0,7.0,2026-09-11
NOW260911P00095000,139.0,0.0,2026-09-11
NOW260911C00096000,64.0,4.0,2026-09-11
NOW260911P00096000,77.0,0.0,2026-09-11
NOW260911C00097000,90.0,23.0,2026-09-11
NOW260911P00097000,20.0,0.0,2026-09-11
NOW260911C00098000,4.0,12.0,2026-09-11
NOW260911P00098000,36.0,0.0,2026-09-11
NOW260911C00099000,22.0,13.0,2026-09-11
NOW260911P00099000,94.0,0.0,2026-09-11
NOW260911C00100000,2.0,6.0,2026-09-11
NOW260911P00100000,214.0,0.0,2026-09-11
NOW260911C00101000,1.0,6.0,2026-09-11
NOW260911P00101000,12.0,0.0,2026-09-11
NOW260911C00102000,16.0,9.0,2026-09-11
NOW260911P00102000,15.0,1.0,2026-09-11
NOW260911C00103000,4.0,5.0,2026-09-11
NOW260911P00103000,17.0,0.0,2026-09-11
NOW260911C00104000,4.0,1.0,2026-09-11
NOW260911P00104000,123.0,0.0,2026-09-11
NOW260911C00105000,20.0,0.0,2026-09-11
NOW260911P00105000,474.0,6.0,2026-09-11
NOW260911C00106000,24.0,2.0,2026-09-11
NOW260911P00106000,25.0,1.0,2026-09-11
NOW260911C00107000,28.0,3.0,2026-09-11
NOW260911P00107000,56.0,1.0,2026-09-11
NOW260911C00108000,6.0,0.0,2026-09-11
NOW260911P00108000,112.0,0.0,2026-09-11
NOW260911C00109000,112.0,0.0,2026-09-11
NOW260911P00109000,65.0,0.0,2026-09-11
NOW260911C00110000,107.0,1.0,2026-09-11
NOW260911P00110000,313.0,3.0,2026-09-11
NOW260911C00111000,22.0,1.0,2026-09-11
NOW260911P00111000,70.0,0.0,2026-09-11
NOW260911C00112000,14.0,6.0,2026-09-11
NOW260911P00112000,237.0,0.0,2026-09-11
NOW260911C00113000,31.0,2.0,2026-09-11
NOW260911P00113000,71.0,0.0,2026-09-11
NOW260911C00114000,63.0,8.0,2026-09-11
NOW260911P00114000,92.0,0.0,2026-09-11
NOW260911C00115000,99.0,11.0,2026-09-11
NOW260911P00115000,285.0,0.0,2026-09-11
NOW260911C00116000,51.0,4.0,2026-09-11
NOW260911P00116000,53.0,0.0,2026-09-11
NOW260911C00117000,62.0,2.0,2026-09-11
NOW260911P00117000,240.0,27.0,2026-09-11
NOW260911C00118000,26.0,13.0,2026-09-11
NOW260911P00118000,113.0,0.0,2026-09-11
NOW260911C00119000,29.0,1.0,2026-09-11
NOW260911P00119000,200.0,2.0,2026-09-11
NOW260911C00120000,212.0,35.0,2026-09-11
NOW260911P00120000,991.0,30.0,2026-09-11
NOW260911C00121000,54.0,5.0,2026-09-11
NOW260911P00121000,412.0,13.0,2026-09-11
NOW260911C00122000,67.0,7.0,2026-09-11
NOW260911P00122000,543.0,45.0,2026-09-11
NOW260911C00123000,85.0,2.0,2026-09-11
NOW260911P00123000,243.0,14.0,2026-09-11
NOW260911C00124000,154.0,27.0,2026-09-11
NOW260911P00124000,2524.0,45.0,2026-09-11
NOW260911C00125000,93.0,27.0,2026-09-11
NOW260911P00125000,1055.0,249.0,2026-09-11
NOW260911C00126000,96.0,14.0,2026-09-11
NOW260911P00126000,737.0,559.0,2026-09-11
NOW260911C00127000,128.0,10.0,2026-09-11
NOW260911P00127000,784.0,304.0,2026-09-11
NOW260911C00128000,137.0,26.0,2026-09-11
NOW260911P00128000,1585.0,535.0,2026-09-11
NOW260911C00129000,93.0,58.0,2026-09-11
NOW260911P00129000,1418.0,639.0,2026-09-11
NOW260911C00130000,497.0,738.0,2026-09-11
NOW260911P00130000,2096.0,1015.0,2026-09-11
NOW260911C00131000,365.0,982.0,2026-09-11
NOW260911P00131000,1057.0,1005.0,2026-09-11
NOW260911C00132000,869.0,3632.0,2026-09-11
NOW260911P00132000,1918.0,2360.0,2026-09-11
NOW260911C00133000,1305.0,2687.0,2026-09-11
NOW260911P00133000,657.0,618.0,2026-09-11
NOW260911C00134000,1559.0,2909.0,2026-09-11
NOW260911P00134000,680.0,429.0,2026-09-11
NOW260911C00135000,2287.0,4661.0,2026-09-11
NOW260911P00135000,1161.0,343.0,2026-09-11
NOW260911C00136000,1386.0,597.0,2026-09-11
NOW260911P00136000,373.0,29.0,2026-09-11
NOW260911C00137000,785.0,573.0,2026-09-11
NOW260911P00137000,260.0,114.0,2026-09-11
NOW260911C00138000,702.0,234.0,2026-09-11
NOW260911P00138000,743.0,127.0,2026-09-11
NOW260911C00139000,520.0,127.0,2026-09-11
NOW260911P00139000,462.0,33.0,2026-09-11
NOW260911C00140000,4559.0,818.0,2026-09-11
NOW260911P00140000,1520.0,68.0,2026-09-11
NOW260911C00141000,588.0,58.0,2026-09-11
NOW260911P00141000,671.0,10.0,2026-09-11
NOW260911C00142000,892.0,79.0,2026-09-11
NOW260911P00142000,276.0,12.0,2026-09-11
NOW260911C00143000,325.0,54.0,2026-09-11
NOW260911P00143000,51.0,2.0,2026-09-11
NOW260911C00144000,1839.0,101.0,2026-09-11
NOW260911P00144000,507.0,6.0,2026-09-11
NOW260911C00145000,1379.0,65.0,2026-09-11
NOW260911P00145000,12.0,2.0,2026-09-11
NOW260911C00146000,549.0,18.0,2026-09-11
NOW260911P00146000,0.0,0.0,2026-09-11
NOW260911C00147000,760.0,29.0,2026-09-11
NOW260911P00147000,2.0,2.0,2026-09-11
NOW260911C00148000,309.0,33.0,2026-09-11
NOW260911P00148000,0.0,0.0,2026-09-11
NOW260911C00149000,326.0,4.0,2026-09-11
NOW260911P00149000,1.0,0.0,2026-09-11
NOW260911C00150000,2528.0,62.0,2026-09-11
NOW260911P00150000,0.0,0.0,2026-09-11
NOW260911C00152500,723.0,19.0,2026-09-11
NOW260911P00152500,0.0,0.0,2026-09-11
NOW260911C00155000,1431.0,65.0,2026-09-11
NOW260911P00155000,0.0,0.0,2026-09-11
NOW260911C00157500,485.0,8.0,2026-09-11
NOW260911P00157500,0.0,0.0,2026-09-11
NOW260911C00160000,634.0,8.0,2026-09-11
NOW260911P00160000,0.0,0.0,2026-09-11
NOW260911C00162500,258.0,40.0,2026-09-11
NOW260911P00162500,0.0,1.0,2026-09-11
NOW260911C00165000,548.0,2.0,2026-09-11
NOW260911P00165000,0.0,0.0,2026-09-11
NOW260911C00167500,85.0,0.0,2026-09-11
NOW260911P00167500,0.0,0.0,2026-09-11
NOW260911C00170000,341.0,3.0,2026-09-11
NOW260911P00170000,0.0,0.0,2026-09-11
NOW260911C00175000,198.0,0.0,2026-09-11
NOW260911P00175000,0.0,0.0,2026-09-11
NOW260911C00180000,14.0,0.0,2026-09-11
NOW260911P00180000,0.0,0.0,2026-09-11
NOW260911C00185000,10.0,0.0,2026-09-11
NOW260911P00185000,0.0,0.0,2026-09-11
NOW260911C00190000,2.0,0.0,2026-09-11
NOW260911P00190000,0.0,0.0,2026-09-11
NOW260911C00195000,221.0,0.0,2026-09-11
NOW260911P00195000,0.0,0.0,2026-09-11
NOW260911C00200000,45.0,0.0,2026-09-11
NOW260911P00200000,0.0,0.0,2026-09-11
NOW260918C00045000,12.0,2.0,2026-09-11
NOW260918P00045000,165.0,0.0,2026-09-11
NOW260918C00050000,125.0,100.0,2026-09-11
NOW260918P00050000,137.0,0.0,2026-09-11
NOW260918C00055000,49.0,0.0,2026-09-11
NOW260918P00055000,88.0,0.0,2026-09-11
NOW260918C00060000,134.0,21.0,2026-09-11
NOW260918P00060000,663.0,0.0,2026-09-11
NOW260918C00065000,423.0,0.0,2026-09-11
NOW260918P00065000,709.0,0.0,2026-09-11
NOW260918C00070000,254.0,4.0,2026-09-11
NOW260918P00070000,1268.0,0.0,2026-09-11
NOW260918C00075000,42.0,1.0,2026-09-11
NOW260918P00075000,6629.0,0.0,2026-09-11
NOW260918C00080000,613.0,2.0,2026-09-11
NOW260918P00080000,8029.0,17.0,2026-09-11
NOW260918C00082000,83.0,0.0,2026-09-11
NOW260918P00082000,849.0,5.0,2026-09-11
NOW260918C00084000,136.0,0.0,2026-09-11
NOW260918P00084000,638.0,0.0,2026-09-11
NOW260918C00085000,232.0,7.0,2026-09-11
NOW260918P00085000,15590.0,1.0,2026-09-11
