contractSymbol,openInterest,volume,snapshot_date
PLTR260911C00050000,0.0,4.0,2026-09-09
PLTR260911P00050000,19129.0,0.0,2026-09-09
PLTR260911C00055000,0.0,0.0,2026-09-09
PLTR260911P00055000,2133.0,0.0,2026-09-09
PLTR260911C00060000,7.0,0.0,2026-09-09
PLTR260911P00060000,121.0,0.0,2026-09-09
PLTR260911C00065000,1.0,0.0,2026-09-09
PLTR260911P00065000,120.0,0.0,2026-09-09
PLTR260911C00070000,2.0,1.0,2026-09-09
PLTR260911P00070000,19.0,0.0,2026-09-09
PLTR260911C00075000,1.0,1.0,2026-09-09
PLTR260911P00075000,10.0,0.0,2026-09-09
PLTR260911C00080000,4.0,1.0,2026-09-09
PLTR260911P00080000,22.0,0.0,2026-09-09
PLTR260911C00085000,2.0,0.0,2026-09-09
PLTR260911P00085000,94.0,1.0,2026-09-09
PLTR260911C00090000,5.0,0.0,2026-09-09
PLTR260911P00090000,2195.0,1750.0,2026-09-09
PLTR260911C00095000,4.0,0.0,2026-09-09
PLTR260911P00095000,795.0,0.0,2026-09-09
PLTR260911C00100000,43.0,1.0,2026-09-09
PLTR260911P00100000,13554.0,486.0,2026-09-09
PLTR260911C00105000,59.0,1.0,2026-09-09
PLTR260911P00105000,183.0,8.0,2026-09-09
PLTR260911C00110000,53.0,1.0,2026-09-09
PLTR260911P00110000,639.0,6.0,2026-09-09
PLTR260911C00111000,21.0,1.0,2026-09-09
PLTR260911P00111000,4.0,0.0,2026-09-09
PLTR260911C00112000,27.0,1.0,2026-09-09
PLTR260911P00112000,4.0,0.0,2026-09-09
PLTR260911C00113000,23.0,0.0,2026-09-09
PLTR260911P00113000,46.0,0.0,2026-09-09
PLTR260911C00114000,7.0,0.0,2026-09-09
PLTR260911P00114000,9.0,0.0,2026-09-09
PLTR260911C00115000,19.0,3.0,2026-09-09
PLTR260911P00115000,469.0,0.0,2026-09-09
PLTR260911C00116000,18.0,4.0,2026-09-09
PLTR260911P00116000,46.0,0.0,2026-09-09
PLTR260911C00117000,12.0,7.0,2026-09-09
PLTR260911P00117000,41.0,0.0,2026-09-09
PLTR260911C00118000,4.0,1.0,2026-09-09
PLTR260911P00118000,51.0,27.0,2026-09-09
PLTR260911C00119000,3.0,2.0,2026-09-09
PLTR260911P00119000,20.0,0.0,2026-09-09
PLTR260911C00120000,41.0,5.0,2026-09-09
PLTR260911P00120000,1120.0,44.0,2026-09-09
PLTR260911C00121000,20.0,0.0,2026-09-09
PLTR260911P00121000,498.0,196.0,2026-09-09
PLTR260911C00122000,19.0,0.0,2026-09-09
PLTR260911P00122000,89.0,33.0,2026-09-09
PLTR260911C00123000,15.0,2.0,2026-09-09
PLTR260911P00123000,84.0,32.0,2026-09-09
PLTR260911C00124000,35.0,2.0,2026-09-09
PLTR260911P00124000,96.0,42.0,2026-09-09
PLTR260911C00125000,94.0,3.0,2026-09-09
PLTR260911P00125000,837.0,8.0,2026-09-09
PLTR260911C00126000,61.0,6.0,2026-09-09
PLTR260911P00126000,169.0,0.0,2026-09-09
PLTR260911C00127000,75.0,1.0,2026-09-09
PLTR260911P00127000,3.0,0.0,2026-09-09
PLTR260911C00128000,24.0,1.0,2026-09-09
PLTR260911P00128000,98.0,0.0,2026-09-09
PLTR260911C00129000,17.0,1.0,2026-09-09
PLTR260911P00129000,92.0,0.0,2026-09-09
PLTR260911C00130000,84.0,7.0,2026-09-09
PLTR260911P00130000,1755.0,105.0,2026-09-09
