contractSymbol,openInterest,volume,snapshot_date
SNDK260904C00530000,0.0,0.0,2026-09-01
SNDK260904P00530000,593.0,0.0,2026-09-01
SNDK260904C00540000,0.0,0.0,2026-09-01
SNDK260904P00540000,17.0,0.0,2026-09-01
SNDK260904C00550000,4.0,0.0,2026-09-01
SNDK260904P00550000,25.0,0.0,2026-09-01
SNDK260904C00560000,1.0,0.0,2026-09-01
SNDK260904P00560000,13.0,0.0,2026-09-01
SNDK260904C00570000,2.0,0.0,2026-09-01
SNDK260904P00570000,90.0,0.0,2026-09-01
SNDK260904C00580000,1.0,0.0,2026-09-01
SNDK260904P00580000,35.0,0.0,2026-09-01
SNDK260904C00590000,2.0,0.0,2026-09-01
SNDK260904P00590000,6.0,0.0,2026-09-01
SNDK260904C00600000,0.0,0.0,2026-09-01
SNDK260904P00600000,151.0,0.0,2026-09-01
SNDK260904C00610000,2.0,0.0,2026-09-01
SNDK260904P00610000,34.0,0.0,2026-09-01
SNDK260904C00620000,3.0,0.0,2026-09-01
SNDK260904P00620000,4.0,0.0,2026-09-01
SNDK260904C00630000,0.0,0.0,2026-09-01
SNDK260904P00630000,5.0,0.0,2026-09-01
SNDK260904C00640000,1.0,0.0,2026-09-01
SNDK260904P00640000,2.0,0.0,2026-09-01
SNDK260904C00650000,9.0,0.0,2026-09-01
SNDK260904P00650000,40.0,0.0,2026-09-01
SNDK260904C00660000,1.0,0.0,2026-09-01
SNDK260904P00660000,4.0,0.0,2026-09-01
SNDK260904C00670000,2.0,0.0,2026-09-01
SNDK260904P00670000,6.0,0.0,2026-09-01
SNDK260904C00680000,0.0,0.0,2026-09-01
SNDK260904P00680000,8.0,50.0,2026-09-01
SNDK260904C00690000,1.0,0.0,2026-09-01
SNDK260904P00690000,109.0,53.0,2026-09-01
SNDK260904C00700000,2.0,0.0,2026-09-01
SNDK260904P00700000,104.0,994.0,2026-09-01
SNDK260904C00710000,1.0,0.0,2026-09-01
SNDK260904P00710000,41.0,282.0,2026-09-01
SNDK260904C00720000,0.0,0.0,2026-09-01
SNDK260904P00720000,5.0,114.0,2026-09-01
SNDK260904C00730000,0.0,0.0,2026-09-01
SNDK260904P00730000,43.0,52.0,2026-09-01
SNDK260904C00740000,0.0,0.0,2026-09-01
SNDK260904P00740000,21.0,10.0,2026-09-01
SNDK260904C00750000,0.0,0.0,2026-09-01
SNDK260904P00750000,77.0,76.0,2026-09-01
SNDK260904C00760000,0.0,0.0,2026-09-01
SNDK260904P00760000,32.0,90.0,2026-09-01
SNDK260904C00770000,0.0,0.0,2026-09-01
SNDK260904P00770000,29.0,8.0,2026-09-01
SNDK260904C00780000,3.0,0.0,2026-09-01
SNDK260904P00780000,197.0,33.0,2026-09-01
SNDK260904C00790000,3.0,0.0,2026-09-01
SNDK260904P00790000,11.0,4.0,2026-09-01
SNDK260904C00800000,5.0,0.0,2026-09-01
SNDK260904P00800000,2994.0,42.0,2026-09-01
SNDK260904C00810000,2.0,0.0,2026-09-01
SNDK260904P00810000,120.0,15.0,2026-09-01
SNDK260904C00820000,1.0,0.0,2026-09-01
SNDK260904P00820000,66.0,13.0,2026-09-01
SNDK260904C00830000,1.0,0.0,2026-09-01
SNDK260904P00830000,98.0,32.0,2026-09-01
SNDK260904C00840000,6.0,0.0,2026-09-01
SNDK260904P00840000,96.0,123.0,2026-09-01
SNDK260904C00850000,2.0,0.0,2026-09-01
SNDK260904P00850000,232.0,50.0,2026-09-01
SNDK260904C00860000,5.0,0.0,2026-09-01
SNDK260904P00860000,442.0,32.0,2026-09-01
SNDK260904C00870000,0.0,0.0,2026-09-01
SNDK260904P00870000,305.0,3.0,2026-09-01
SNDK260904C00880000,6.0,0.0,2026-09-01
SNDK260904P00880000,186.0,125.0,2026-09-01
SNDK260904C00890000,1.0,0.0,2026-09-01
SNDK260904P00890000,99.0,118.0,2026-09-01
SNDK260904C00900000,16.0,0.0,2026-09-01
SNDK260904P00900000,421.0,284.0,2026-09-01
SNDK260904C00910000,5.0,0.0,2026-09-01
SNDK260904P00910000,125.0,5.0,2026-09-01
SNDK260904C00920000,1.0,0.0,2026-09-01
SNDK260904P00920000,94.0,28.0,2026-09-01
SNDK260904C00930000,1.0,0.0,2026-09-01
SNDK260904P00930000,32.0,95.0,2026-09-01
SNDK260904C00940000,0.0,0.0,2026-09-01
SNDK260904P00940000,62.0,72.0,2026-09-01
SNDK260904C00950000,4.0,0.0,2026-09-01
SNDK260904P00950000,335.0,179.0,2026-09-01
SNDK260904C00960000,6.0,0.0,2026-09-01
SNDK260904P00960000,84.0,19.0,2026-09-01
SNDK260904C00970000,2.0,0.0,2026-09-01
SNDK260904P00970000,80.0,19.0,2026-09-01
SNDK260904C00975000,1.0,0.0,2026-09-01
SNDK260904P00975000,78.0,98.0,2026-09-01
SNDK260904C00980000,2.0,0.0,2026-09-01
SNDK260904P00980000,144.0,91.0,2026-09-01
SNDK260904C00985000,1.0,0.0,2026-09-01
SNDK260904P00985000,57.0,73.0,2026-09-01
SNDK260904C00990000,2.0,0.0,2026-09-01
SNDK260904P00990000,51.0,92.0,2026-09-01
SNDK260904C00995000,1.0,0.0,2026-09-01
SNDK260904P00995000,618.0,284.0,2026-09-01
SNDK260904C01000000,6.0,0.0,2026-09-01
SNDK260904P01000000,1258.0,457.0,2026-09-01
SNDK260904C01005000,8.0,0.0,2026-09-01
SNDK260904P01005000,96.0,220.0,2026-09-01
SNDK260904C01010000,0.0,0.0,2026-09-01
SNDK260904P01010000,208.0,45.0,2026-09-01
SNDK260904C01015000,0.0,0.0,2026-09-01
SNDK260904P01015000,42.0,5.0,2026-09-01
SNDK260904C01020000,4.0,0.0,2026-09-01
SNDK260904P01020000,108.0,22.0,2026-09-01
SNDK260904C01025000,1.0,0.0,2026-09-01
SNDK260904P01025000,18.0,11.0,2026-09-01
SNDK260904C01030000,1.0,0.0,2026-09-01
SNDK260904P01030000,116.0,9.0,2026-09-01
SNDK260904C01035000,4.0,0.0,2026-09-01
SNDK260904P01035000,22.0,20.0,2026-09-01
SNDK260904C01040000,2.0,0.0,2026-09-01
SNDK260904P01040000,47.0,4.0,2026-09-01
SNDK260904C01045000,1.0,0.0,2026-09-01
SNDK260904P01045000,24.0,151.0,2026-09-01
SNDK260904C01050000,29.0,5.0,2026-09-01
SNDK260904P01050000,316.0,94.0,2026-09-01
SNDK260904C01055000,3.0,0.0,2026-09-01
SNDK260904P01055000,26.0,14.0,2026-09-01
SNDK260904C01060000,3.0,0.0,2026-09-01
SNDK260904P01060000,67.0,13.0,2026-09-01
SNDK260904C01065000,2.0,0.0,2026-09-01
SNDK260904P01065000,26.0,11.0,2026-09-01
SNDK260904C01070000,2.0,0.0,2026-09-01
SNDK260904P01070000,147.0,15.0,2026-09-01
SNDK260904C01075000,21.0,0.0,2026-09-01
SNDK260904P01075000,197.0,50.0,2026-09-01
SNDK260904C01080000,4.0,0.0,2026-09-01
SNDK260904P01080000,31.0,41.0,2026-09-01
SNDK260904C01085000,3.0,0.0,2026-09-01
SNDK260904P01085000,29.0,241.0,2026-09-01
SNDK260904C01090000,1.0,0.0,2026-09-01
SNDK260904P01090000,43.0,18.0,2026-09-01
SNDK260904C01095000,53.0,0.0,2026-09-01
SNDK260904P01095000,21.0,633.0,2026-09-01
SNDK260904C01100000,84.0,4.0,2026-09-01
SNDK260904P01100000,673.0,1453.0,2026-09-01
SNDK260904C01105000,24.0,0.0,2026-09-01
SNDK260904P01105000,52.0,593.0,2026-09-01
SNDK260904C01110000,1.0,0.0,2026-09-01
SNDK260904P01110000,42.0,6.0,2026-09-01
SNDK260904C01115000,10.0,0.0,2026-09-01
SNDK260904P01115000,20.0,3.0,2026-09-01
SNDK260904C01120000,2.0,0.0,2026-09-01
SNDK260904P01120000,136.0,6.0,2026-09-01
SNDK260904C01125000,8.0,5.0,2026-09-01
SNDK260904P01125000,19.0,14.0,2026-09-01
SNDK260904C01130000,6.0,5.0,2026-09-01
SNDK260904P01130000,79.0,21.0,2026-09-01
SNDK260904C01135000,12.0,0.0,2026-09-01
SNDK260904P01135000,7.0,40.0,2026-09-01
SNDK260904C01140000,1.0,0.0,2026-09-01
SNDK260904P01140000,97.0,48.0,2026-09-01
SNDK260904C01145000,0.0,0.0,2026-09-01
SNDK260904P01145000,34.0,25.0,2026-09-01
SNDK260904C01150000,5.0,0.0,2026-09-01
SNDK260904P01150000,542.0,207.0,2026-09-01
SNDK260904C01155000,1.0,0.0,2026-09-01
SNDK260904P01155000,17.0,14.0,2026-09-01
SNDK260904C01160000,4.0,0.0,2026-09-01
SNDK260904P01160000,65.0,6.0,2026-09-01
SNDK260904C01165000,0.0,0.0,2026-09-01
SNDK260904P01165000,26.0,12.0,2026-09-01
SNDK260904C01170000,150.0,100.0,2026-09-01
SNDK260904P01170000,123.0,8.0,2026-09-01
SNDK260904C01175000,15.0,0.0,2026-09-01
SNDK260904P01175000,67.0,25.0,2026-09-01
SNDK260904C01180000,153.0,100.0,2026-09-01
SNDK260904P01180000,71.0,11.0,2026-09-01
SNDK260904C01185000,1.0,0.0,2026-09-01
SNDK260904P01185000,53.0,19.0,2026-09-01
SNDK260904C01190000,17.0,6.0,2026-09-01
SNDK260904P01190000,122.0,19.0,2026-09-01
SNDK260904C01195000,1.0,0.0,2026-09-01
SNDK260904P01195000,55.0,150.0,2026-09-01
SNDK260904C01200000,29.0,2.0,2026-09-01
SNDK260904P01200000,1702.0,717.0,2026-09-01
SNDK260904C01205000,0.0,0.0,2026-09-01
SNDK260904P01205000,48.0,156.0,2026-09-01
SNDK260904C01210000,9.0,0.0,2026-09-01
SNDK260904P01210000,152.0,4.0,2026-09-01
SNDK260904C01215000,1.0,10.0,2026-09-01
SNDK260904P01215000,42.0,4.0,2026-09-01
SNDK260904C01220000,13.0,10.0,2026-09-01
SNDK260904P01220000,199.0,7.0,2026-09-01
SNDK260904C01225000,6.0,2.0,2026-09-01
SNDK260904P01225000,71.0,31.0,2026-09-01
SNDK260904C01230000,5.0,14.0,2026-09-01
SNDK260904P01230000,174.0,30.0,2026-09-01
SNDK260904C01235000,1.0,13.0,2026-09-01
SNDK260904P01235000,40.0,130.0,2026-09-01
SNDK260904C01240000,33.0,26.0,2026-09-01
SNDK260904P01240000,174.0,5705.0,2026-09-01
SNDK260904C01245000,12.0,40.0,2026-09-01
SNDK260904P01245000,155.0,75.0,2026-09-01
SNDK260904C01250000,38.0,85.0,2026-09-01
SNDK260904P01250000,637.0,493.0,2026-09-01
SNDK260904C01255000,1.0,106.0,2026-09-01
SNDK260904P01255000,63.0,62.0,2026-09-01
SNDK260904C01260000,65.0,69.0,2026-09-01
SNDK260904P01260000,347.0,48.0,2026-09-01
SNDK260904C01265000,5.0,7.0,2026-09-01
SNDK260904P01265000,1878.0,1846.0,2026-09-01
SNDK260904C01270000,33.0,9.0,2026-09-01
SNDK260904P01270000,1528.0,1250.0,2026-09-01
SNDK260904C01275000,0.0,11.0,2026-09-01
SNDK260904P01275000,456.0,112.0,2026-09-01
SNDK260904C01280000,21.0,11.0,2026-09-01
SNDK260904P01280000,1094.0,997.0,2026-09-01
SNDK260904C01285000,23.0,62.0,2026-09-01
SNDK260904P01285000,80.0,48.0,2026-09-01
SNDK260904C01290000,36.0,70.0,2026-09-01
SNDK260904P01290000,174.0,162.0,2026-09-01
SNDK260904C01295000,4.0,63.0,2026-09-01
SNDK260904P01295000,314.0,158.0,2026-09-01
SNDK260904C01300000,287.0,156.0,2026-09-01
SNDK260904P01300000,2014.0,1388.0,2026-09-01
SNDK260904C01305000,11.0,98.0,2026-09-01
SNDK260904P01305000,132.0,86.0,2026-09-01
SNDK260904C01310000,179.0,296.0,2026-09-01
SNDK260904P01310000,144.0,152.0,2026-09-01
SNDK260904C01315000,182.0,297.0,2026-09-01
SNDK260904P01315000,154.0,74.0,2026-09-01
SNDK260904C01320000,14.0,15.0,2026-09-01
SNDK260904P01320000,268.0,134.0,2026-09-01
SNDK260904C01325000,11.0,18.0,2026-09-01
SNDK260904P01325000,157.0,162.0,2026-09-01
SNDK260904C01330000,4.0,10.0,2026-09-01
SNDK260904P01330000,188.0,213.0,2026-09-01
SNDK260904C01335000,4.0,7.0,2026-09-01
SNDK260904P01335000,59.0,41.0,2026-09-01
SNDK260904C01340000,17.0,9.0,2026-09-01
SNDK260904P01340000,201.0,199.0,2026-09-01
SNDK260904C01345000,14.0,12.0,2026-09-01
SNDK260904P01345000,169.0,125.0,2026-09-01
SNDK260904C01350000,366.0,281.0,2026-09-01
SNDK260904P01350000,1096.0,773.0,2026-09-01
SNDK260904C01355000,8.0,6.0,2026-09-01
SNDK260904P01355000,111.0,144.0,2026-09-01
SNDK260904C01360000,8.0,5.0,2026-09-01
SNDK260904P01360000,156.0,179.0,2026-09-01
SNDK260904C01365000,10.0,7.0,2026-09-01
SNDK260904P01365000,173.0,95.0,2026-09-01
SNDK260904C01370000,312.0,9.0,2026-09-01
SNDK260904P01370000,248.0,241.0,2026-09-01
SNDK260904C01375000,115.0,590.0,2026-09-01
SNDK260904P01375000,168.0,174.0,2026-09-01
SNDK260904C01380000,107.0,14.0,2026-09-01
SNDK260904P01380000,261.0,367.0,2026-09-01
SNDK260904C01385000,26.0,13.0,2026-09-01
SNDK260904P01385000,152.0,98.0,2026-09-01
SNDK260904C01390000,15.0,11.0,2026-09-01
SNDK260904P01390000,338.0,256.0,2026-09-01
SNDK260904C01395000,17.0,7.0,2026-09-01
SNDK260904P01395000,159.0,159.0,2026-09-01
SNDK260904C01400000,653.0,1085.0,2026-09-01
SNDK260904P01400000,1154.0,2393.0,2026-09-01
SNDK260904C01405000,7.0,16.0,2026-09-01
SNDK260904P01405000,321.0,300.0,2026-09-01
SNDK260904C01410000,21.0,14.0,2026-09-01
SNDK260904P01410000,151.0,258.0,2026-09-01
SNDK260904C01415000,13.0,7.0,2026-09-01
SNDK260904P01415000,70.0,160.0,2026-09-01
SNDK260904C01420000,34.0,12.0,2026-09-01
SNDK260904P01420000,187.0,194.0,2026-09-01
SNDK260904C01425000,112.0,1251.0,2026-09-01
SNDK260904P01425000,205.0,209.0,2026-09-01
SNDK260904C01430000,57.0,8.0,2026-09-01
SNDK260904P01430000,282.0,293.0,2026-09-01
SNDK260904C01435000,47.0,29.0,2026-09-01
SNDK260904P01435000,80.0,172.0,2026-09-01
SNDK260904C01440000,40.0,13.0,2026-09-01
SNDK260904P01440000,1909.0,2732.0,2026-09-01
SNDK260904C01445000,38.0,4.0,2026-09-01
SNDK260904P01445000,90.0,148.0,2026-09-01
SNDK260904C01450000,171.0,1076.0,2026-09-01
SNDK260904P01450000,2190.0,3490.0,2026-09-01
SNDK260904C01455000,93.0,46.0,2026-09-01
SNDK260904P01455000,81.0,150.0,2026-09-01
SNDK260904C01460000,155.0,44.0,2026-09-01
SNDK260904P01460000,290.0,216.0,2026-09-01
SNDK260904C01465000,89.0,36.0,2026-09-01
SNDK260904P01465000,1080.0,1169.0,2026-09-01
SNDK260904C01470000,163.0,120.0,2026-09-01
SNDK260904P01470000,162.0,264.0,2026-09-01
SNDK260904C01475000,127.0,744.0,2026-09-01
SNDK260904P01475000,303.0,312.0,2026-09-01
SNDK260904C01480000,363.0,128.0,2026-09-01
SNDK260904P01480000,374.0,493.0,2026-09-01
SNDK260904C01485000,241.0,95.0,2026-09-01
SNDK260904P01485000,91.0,148.0,2026-09-01
SNDK260904C01487500,43.0,19.0,2026-09-01
