contractSymbol,openInterest,volume,snapshot_date
SPCX260911C00005000,0.0,2.0,2026-09-10
SPCX260911P00005000,121.0,0.0,2026-09-10
SPCX260911C00010000,4.0,2.0,2026-09-10
SPCX260911P00010000,36.0,0.0,2026-09-10
SPCX260911C00015000,0.0,2.0,2026-09-10
SPCX260911P00015000,1.0,0.0,2026-09-10
SPCX260911C00020000,2.0,1.0,2026-09-10
SPCX260911P00020000,1.0,0.0,2026-09-10
SPCX260911C00025000,2.0,0.0,2026-09-10
SPCX260911P00025000,0.0,0.0,2026-09-10
SPCX260911C00030000,0.0,0.0,2026-09-10
SPCX260911P00030000,0.0,0.0,2026-09-10
SPCX260911C00035000,5.0,0.0,2026-09-10
SPCX260911P00035000,0.0,0.0,2026-09-10
SPCX260911C00040000,1.0,0.0,2026-09-10
SPCX260911P00040000,53.0,0.0,2026-09-10
SPCX260911C00045000,3.0,2.0,2026-09-10
SPCX260911P00045000,58.0,0.0,2026-09-10
SPCX260911C00050000,1.0,13.0,2026-09-10
SPCX260911P00050000,183.0,0.0,2026-09-10
SPCX260911C00055000,34.0,19.0,2026-09-10
SPCX260911P00055000,91.0,0.0,2026-09-10
SPCX260911C00060000,34.0,27.0,2026-09-10
SPCX260911P00060000,374.0,0.0,2026-09-10
SPCX260911C00065000,10.0,34.0,2026-09-10
SPCX260911P00065000,183.0,0.0,2026-09-10
SPCX260911C00070000,23.0,42.0,2026-09-10
SPCX260911P00070000,20447.0,300.0,2026-09-10
SPCX260911C00075000,68.0,37.0,2026-09-10
SPCX260911P00075000,3031.0,0.0,2026-09-10
SPCX260911C00080000,16.0,60.0,2026-09-10
SPCX260911P00080000,8786.0,0.0,2026-09-10
SPCX260911C00085000,21.0,52.0,2026-09-10
SPCX260911P00085000,1592.0,3.0,2026-09-10
SPCX260911C00090000,100.0,168.0,2026-09-10
SPCX260911P00090000,3262.0,4.0,2026-09-10
SPCX260911C00095000,30.0,89.0,2026-09-10
SPCX260911P00095000,8043.0,10.0,2026-09-10
SPCX260911C00096000,12.0,89.0,2026-09-10
SPCX260911P00096000,64.0,2.0,2026-09-10
SPCX260911C00097000,49.0,88.0,2026-09-10
SPCX260911P00097000,326.0,7.0,2026-09-10
SPCX260911C00098000,72.0,57.0,2026-09-10
SPCX260911P00098000,175.0,1.0,2026-09-10
SPCX260911C00099000,71.0,70.0,2026-09-10
SPCX260911P00099000,129.0,0.0,2026-09-10
SPCX260911C00100000,153.0,98.0,2026-09-10
SPCX260911P00100000,2363.0,1.0,2026-09-10
SPCX260911C00101000,8.0,90.0,2026-09-10
SPCX260911P00101000,1430.0,0.0,2026-09-10
SPCX260911C00102000,122.0,103.0,2026-09-10
SPCX260911P00102000,336.0,0.0,2026-09-10
SPCX260911C00103000,1.0,41.0,2026-09-10
SPCX260911P00103000,275.0,0.0,2026-09-10
SPCX260911C00104000,10.0,22.0,2026-09-10
SPCX260911P00104000,884.0,2.0,2026-09-10
SPCX260911C00105000,38.0,14.0,2026-09-10
SPCX260911P00105000,1502.0,1.0,2026-09-10
SPCX260911C00106000,8.0,3.0,2026-09-10
SPCX260911P00106000,366.0,0.0,2026-09-10
SPCX260911C00107000,15.0,53.0,2026-09-10
SPCX260911P00107000,541.0,0.0,2026-09-10
SPCX260911C00108000,89.0,51.0,2026-09-10
SPCX260911P00108000,808.0,0.0,2026-09-10
SPCX260911C00109000,205.0,2.0,2026-09-10
SPCX260911P00109000,2001.0,33.0,2026-09-10
SPCX260911C00110000,145.0,19.0,2026-09-10
SPCX260911P00110000,1979.0,43.0,2026-09-10
SPCX260911C00111000,69.0,17.0,2026-09-10
SPCX260911P00111000,137.0,0.0,2026-09-10
SPCX260911C00112000,72.0,38.0,2026-09-10
SPCX260911P00112000,623.0,20.0,2026-09-10
SPCX260911C00113000,48.0,29.0,2026-09-10
SPCX260911P00113000,386.0,185.0,2026-09-10
SPCX260911C00114000,162.0,40.0,2026-09-10
SPCX260911P00114000,392.0,147.0,2026-09-10
