contractSymbol,openInterest,volume,snapshot_date
SPY260921C00550000,0.0,130.0,2026-09-21
SPY260921P00550000,436.0,0.0,2026-09-21
SPY260921C00555000,0.0,1157.0,2026-09-21
SPY260921P00555000,262.0,0.0,2026-09-21
SPY260921C00560000,0.0,301.0,2026-09-21
SPY260921P00560000,24.0,0.0,2026-09-21
SPY260921C00565000,0.0,328.0,2026-09-21
SPY260921P00565000,171.0,0.0,2026-09-21
SPY260921C00570000,0.0,30.0,2026-09-21
SPY260921P00570000,177.0,0.0,2026-09-21
SPY260921C00575000,0.0,25.0,2026-09-21
SPY260921P00575000,24.0,0.0,2026-09-21
SPY260921C00580000,0.0,15.0,2026-09-21
SPY260921P00580000,25.0,0.0,2026-09-21
SPY260921C00585000,0.0,16.0,2026-09-21
SPY260921P00585000,25.0,0.0,2026-09-21
SPY260921C00590000,0.0,25.0,2026-09-21
SPY260921P00590000,10.0,0.0,2026-09-21
SPY260921C00595000,0.0,33.0,2026-09-21
SPY260921P00595000,14.0,0.0,2026-09-21
SPY260921C00600000,0.0,45.0,2026-09-21
SPY260921P00600000,123.0,0.0,2026-09-21
SPY260921C00605000,0.0,46.0,2026-09-21
SPY260921P00605000,2.0,0.0,2026-09-21
SPY260921C00610000,0.0,346.0,2026-09-21
SPY260921P00610000,443.0,0.0,2026-09-21
SPY260921C00615000,0.0,341.0,2026-09-21
SPY260921P00615000,28.0,0.0,2026-09-21
SPY260921C00620000,0.0,18.0,2026-09-21
SPY260921P00620000,11.0,0.0,2026-09-21
SPY260921C00625000,0.0,9.0,2026-09-21
SPY260921P00625000,223.0,0.0,2026-09-21
SPY260921C00630000,0.0,17.0,2026-09-21
SPY260921P00630000,1465.0,0.0,2026-09-21
SPY260921C00635000,0.0,103.0,2026-09-21
SPY260921P00635000,1741.0,0.0,2026-09-21
SPY260921C00640000,0.0,30.0,2026-09-21
SPY260921P00640000,3217.0,0.0,2026-09-21
SPY260921C00645000,0.0,32.0,2026-09-21
SPY260921P00645000,6609.0,0.0,2026-09-21
SPY260921C00650000,1.0,42.0,2026-09-21
SPY260921P00650000,164.0,0.0,2026-09-21
SPY260921C00655000,0.0,7.0,2026-09-21
SPY260921P00655000,17.0,0.0,2026-09-21
SPY260921C00660000,11.0,43.0,2026-09-21
SPY260921P00660000,152.0,0.0,2026-09-21
SPY260921C00665000,23.0,137.0,2026-09-21
SPY260921P00665000,4021.0,0.0,2026-09-21
SPY260921C00670000,23.0,43.0,2026-09-21
SPY260921P00670000,4836.0,0.0,2026-09-21
SPY260921C00675000,8.0,146.0,2026-09-21
SPY260921P00675000,3519.0,45.0,2026-09-21
SPY260921C00680000,21.0,94.0,2026-09-21
SPY260921P00680000,1252.0,0.0,2026-09-21
SPY260921C00685000,30.0,78.0,2026-09-21
SPY260921P00685000,437.0,3.0,2026-09-21
SPY260921C00690000,31.0,103.0,2026-09-21
SPY260921P00690000,1735.0,2.0,2026-09-21
SPY260921C00695000,15.0,285.0,2026-09-21
SPY260921P00695000,480.0,1.0,2026-09-21
SPY260921C00700000,40.0,544.0,2026-09-21
SPY260921P00700000,1740.0,22.0,2026-09-21
