contractSymbol,openInterest,volume,snapshot_date
VIXY260918C00015000,1091.0,0.0,2026-08-23
VIXY260918P00015000,12.0,0.0,2026-08-23
VIXY260918C00016000,21.0,1.0,2026-08-23
VIXY260918P00016000,6.0,0.0,2026-08-23
VIXY260918C00017000,386.0,10.0,2026-08-23
VIXY260918P00017000,49.0,9.0,2026-08-23
VIXY260918C00018000,592.0,80.0,2026-08-23
VIXY260918P00018000,387.0,20.0,2026-08-23
VIXY260918C00019000,2904.0,180.0,2026-08-23
VIXY260918P00019000,307.0,0.0,2026-08-23
VIXY260918C00020000,741.0,92.0,2026-08-23
VIXY260918P00020000,30.0,21.0,2026-08-23
VIXY260918C00021000,461.0,29.0,2026-08-23
VIXY260918P00021000,33.0,1.0,2026-08-23
VIXY260918C00022000,195.0,543.0,2026-08-23
VIXY260918P00022000,230.0,0.0,2026-08-23
VIXY260918C00023000,449.0,26.0,2026-08-23
VIXY260918P00023000,54.0,0.0,2026-08-23
VIXY260918C00024000,519.0,21.0,2026-08-23
VIXY260918P00024000,40.0,0.0,2026-08-23
VIXY260918C00025000,538.0,623.0,2026-08-23
VIXY260918P00025000,113.0,0.0,2026-08-23
VIXY260918C00026000,161.0,123.0,2026-08-23
VIXY260918P00026000,13.0,0.0,2026-08-23
VIXY260918C00027000,189.0,0.0,2026-08-23
VIXY260918P00027000,101.0,0.0,2026-08-23
VIXY260918C00028000,380.0,0.0,2026-08-23
VIXY260918P00028000,11.0,0.0,2026-08-23
VIXY260918C00029000,19.0,0.0,2026-08-23
VIXY260918P00029000,6.0,0.0,2026-08-23
VIXY260918C00030000,300.0,0.0,2026-08-23
VIXY260918P00030000,22.0,18.0,2026-08-23
VIXY260918C00031000,21.0,0.0,2026-08-23
VIXY260918P00031000,0.0,0.0,2026-08-23
VIXY260918C00032000,8.0,0.0,2026-08-23
VIXY260918P00032000,16.0,0.0,2026-08-23
VIXY260918C00033000,12.0,0.0,2026-08-23
VIXY260918P00033000,25.0,0.0,2026-08-23
VIXY260918C00034000,1.0,0.0,2026-08-23
VIXY260918P00034000,24.0,0.0,2026-08-23
VIXY260918C00035000,187.0,0.0,2026-08-23
VIXY260918P00035000,11.0,0.0,2026-08-23
VIXY260918C00036000,6.0,0.0,2026-08-23
VIXY260918P00036000,7.0,0.0,2026-08-23
VIXY260918C00037000,0.0,0.0,2026-08-23
VIXY260918P00037000,35.0,0.0,2026-08-23
VIXY260918C00038000,2.0,0.0,2026-08-23
VIXY260918P00038000,11.0,0.0,2026-08-23
VIXY260918C00039000,1.0,0.0,2026-08-23
VIXY260918P00039000,4.0,0.0,2026-08-23
VIXY260918C00040000,135.0,0.0,2026-08-23
VIXY260918P00040000,13.0,50.0,2026-08-23
VIXY260918C00041000,3.0,0.0,2026-08-23
VIXY260918P00041000,6.0,50.0,2026-08-23
VIXY260918C00042000,0.0,0.0,2026-08-23
VIXY260918P00042000,4.0,4.0,2026-08-23
VIXY260918C00043000,30.0,0.0,2026-08-23
VIXY260918P00043000,4.0,0.0,2026-08-23
VIXY260918C00045000,65.0,0.0,2026-08-23
VIXY260918P00045000,0.0,0.0,2026-08-23
VIXY260918C00050000,63.0,0.0,2026-08-23
VIXY260918P00050000,20.0,0.0,2026-08-23
VIXY260918C00055000,43.0,0.0,2026-08-23
VIXY260918P00055000,0.0,0.0,2026-08-23
