contractSymbol,openInterest,volume,snapshot_date
XBI260925C00085000,1.0,0.0,2026-09-25
XBI260925P00085000,0.0,0.0,2026-09-25
XBI260925C00090000,0.0,0.0,2026-09-25
XBI260925P00090000,0.0,0.0,2026-09-25
XBI260925C00095000,0.0,0.0,2026-09-25
XBI260925P00095000,0.0,0.0,2026-09-25
XBI260925C00100000,0.0,0.0,2026-09-25
XBI260925P00100000,0.0,0.0,2026-09-25
XBI260925C00105000,0.0,0.0,2026-09-25
XBI260925P00105000,0.0,0.0,2026-09-25
XBI260925C00110000,19.0,0.0,2026-09-25
XBI260925P00110000,0.0,0.0,2026-09-25
XBI260925C00115000,0.0,0.0,2026-09-25
XBI260925P00115000,0.0,0.0,2026-09-25
XBI260925C00120000,0.0,0.0,2026-09-25
XBI260925P00120000,0.0,0.0,2026-09-25
XBI260925C00125000,0.0,0.0,2026-09-25
XBI260925P00125000,0.0,0.0,2026-09-25
XBI260925C00130000,11.0,0.0,2026-09-25
XBI260925P00130000,12.0,0.0,2026-09-25
XBI260925C00135000,0.0,0.0,2026-09-25
XBI260925P00135000,39.0,0.0,2026-09-25
XBI260925C00139000,0.0,0.0,2026-09-25
XBI260925P00139000,391.0,1.0,2026-09-25
XBI260925C00140000,9.0,0.0,2026-09-25
XBI260925P00140000,310.0,0.0,2026-09-25
XBI260925C00141000,1.0,2.0,2026-09-25
XBI260925P00141000,39.0,0.0,2026-09-25
XBI260925C00142000,0.0,1.0,2026-09-25
XBI260925P00142000,2.0,0.0,2026-09-25
XBI260925C00143000,6.0,1.0,2026-09-25
XBI260925P00143000,77.0,39.0,2026-09-25
XBI260925C00144000,8.0,1.0,2026-09-25
XBI260925P00144000,54.0,0.0,2026-09-25
XBI260925C00145000,18.0,0.0,2026-09-25
XBI260925P00145000,15158.0,15.0,2026-09-25
XBI260925C00146000,5.0,0.0,2026-09-25
XBI260925P00146000,35.0,0.0,2026-09-25
XBI260925C00147000,14.0,12.0,2026-09-25
XBI260925P00147000,460.0,20.0,2026-09-25
XBI260925C00148000,18.0,9.0,2026-09-25
XBI260925P00148000,410.0,1.0,2026-09-25
XBI260925C00148500,18.0,10.0,2026-09-25
XBI260925P00148500,29.0,0.0,2026-09-25
XBI260925C00149000,40.0,28.0,2026-09-25
XBI260925P00149000,62.0,5.0,2026-09-25
XBI260925C00149500,3.0,21.0,2026-09-25
XBI260925P00149500,113.0,1.0,2026-09-25
XBI260925C00150000,1044.0,1009.0,2026-09-25
XBI260925P00150000,12688.0,58.0,2026-09-25
XBI260925C00151000,61.0,55.0,2026-09-25
XBI260925P00151000,5127.0,26.0,2026-09-25
XBI260925C00152000,1.0,1.0,2026-09-25
XBI260925P00152000,262.0,98.0,2026-09-25
XBI260925C00152500,2.0,3.0,2026-09-25
XBI260925P00152500,154.0,47.0,2026-09-25
XBI260925C00153000,266.0,6.0,2026-09-25
XBI260925P00153000,347.0,50.0,2026-09-25
XBI260925C00154000,25.0,24.0,2026-09-25
XBI260925P00154000,4969.0,24.0,2026-09-25
XBI260925C00155000,156.0,26.0,2026-09-25
XBI260925P00155000,207.0,60.0,2026-09-25
XBI260925C00156000,902.0,55.0,2026-09-25
XBI260925P00156000,1859.0,18.0,2026-09-25
XBI260925C00157000,2110.0,57.0,2026-09-25
XBI260925P00157000,3052.0,6.0,2026-09-25
XBI260925C00157500,261.0,20.0,2026-09-25
XBI260925P00157500,509.0,0.0,2026-09-25
XBI260925C00158000,305.0,256.0,2026-09-25
XBI260925P00158000,199.0,19.0,2026-09-25
XBI260925C00159000,56.0,81.0,2026-09-25
XBI260925P00159000,76.0,29.0,2026-09-25
XBI260925C00160000,2606.0,206.0,2026-09-25
XBI260925P00160000,1139.0,78.0,2026-09-25
XBI260925C00161000,247.0,29.0,2026-09-25
XBI260925P00161000,75.0,0.0,2026-09-25
XBI260925C00162000,610.0,8.0,2026-09-25
XBI260925P00162000,12.0,0.0,2026-09-25
XBI260925C00162500,43.0,8.0,2026-09-25
XBI260925P00162500,0.0,10.0,2026-09-25
