date,spot,near_exp,near_dte,atm_iv_near,monthly_exp,monthly_dte,atm_iv_monthly,term_ratio,source
2026-07-14,239.38,2026-07-17,3,1.5136,2026-08-14,31,1.5628,0.9686,thetadata_eod
2026-07-15,206.73,2026-07-17,2,0.2063,2026-08-14,30,1.2064,0.171,thetadata_eod
2026-07-16,214.96,2026-07-17,1,0.7141,2026-08-14,29,1.5972,0.4471,thetadata_eod
2026-07-17,214.96,2026-07-24,7,1.5521,2026-08-14,28,1.701,0.9124,thetadata_eod
2026-07-20,226.26,2026-07-24,4,0.5054,2026-08-21,32,1.7342,0.2914,thetadata_eod
2026-07-21,218.22,2026-07-24,3,1.7357,2026-08-21,31,1.8164,0.9556,thetadata_eod
2026-07-22,217.3,2026-07-24,2,1.6367,2026-08-21,30,1.7253,0.9487,thetadata_eod
2026-07-23,184.89,2026-07-24,1,0.1571,2026-08-21,29,1.2377,0.1269,thetadata_eod
2026-07-24,184.89,2026-07-31,7,2.4473,2026-08-21,28,1.7077,1.4331,thetadata_eod
2026-07-27,166.84,2026-07-31,4,1.7452,2026-08-28,32,1.8068,0.9659,thetadata_eod
2026-07-28,163.75,2026-07-31,3,2.4973,2026-08-28,31,1.6384,1.5242,thetadata_eod
2026-07-29,207.12,2026-07-31,2,0.1557,2026-08-28,30,1.5359,0.1014,thetadata_eod
2026-07-30,205.81,2026-07-31,1,1.9275,2026-08-28,29,1.273,1.5141,thetadata_eod
2026-07-31,205.81,2026-08-07,7,1.3849,2026-08-28,28,1.2761,1.0853,thetadata_eod
2026-08-03,228.11,2026-08-07,4,1.5579,2026-09-04,32,1.2138,1.2835,thetadata_eod
2026-08-04,234.33,2026-08-07,3,1.5745,2026-09-04,31,1.2587,1.2509,thetadata_eod
2026-08-05,228.96,2026-08-07,2,1.4015,2026-09-04,30,1.235,1.1348,thetadata_eod
2026-08-06,219.34,2026-08-07,1,0.5741,2026-09-04,29,1.2508,0.459,thetadata_eod
2026-08-07,219.34,2026-08-14,7,1.0362,2026-09-04,28,1.0563,0.9809,thetadata_eod
2026-08-10,211.21,2026-08-14,4,1.105,2026-09-11,32,1.0619,1.0405,thetadata_eod
2026-08-11,237.16,2026-08-14,3,0.1617,2026-09-11,31,0.9807,0.1649,thetadata_eod
2026-08-12,236.22,2026-08-14,2,1.0794,2026-09-11,30,0.976,1.106,thetadata_eod
2026-08-13,229.94,2026-08-14,1,1.2156,2026-09-11,29,1.0997,1.1054,thetadata_eod
2026-08-14,229.94,2026-08-21,7,0.8746,2026-09-11,28,0.9346,0.9358,thetadata_eod
2026-08-17,209.01,2026-08-21,4,0.2068,2026-09-18,32,1.0556,0.1959,thetadata_eod
2026-08-18,206.63,2026-08-21,3,0.9951,2026-09-18,31,0.9071,1.0971,thetadata_eod
2026-08-19,202.48,2026-08-21,2,1.0247,2026-09-18,30,0.8773,1.1681,thetadata_eod
2026-08-20,201.45,2026-08-21,1,0.8935,2026-09-18,29,0.8747,1.0215,thetadata_eod
2026-08-21,201.45,2026-08-28,7,0.809,2026-09-18,28,0.8544,0.9469,thetadata_eod
2026-08-24,217.45,2026-08-28,4,1.1922,2026-09-25,32,0.9054,1.3168,thetadata_eod
2026-08-25,218.21,2026-08-28,3,0.9756,2026-09-25,31,0.9008,1.0831,thetadata_eod
2026-08-26,217.83,2026-08-28,2,0.9794,2026-09-25,30,0.9074,1.0793,thetadata_eod
2026-08-27,210.77,2026-08-28,1,1.1925,2026-09-25,29,0.891,1.3385,thetadata_eod
2026-08-28,210.77,2026-09-04,7,0.8218,2026-09-25,28,0.818,1.0046,thetadata_eod
