date,spot,near_exp,near_dte,atm_iv_near,monthly_exp,monthly_dte,atm_iv_monthly,term_ratio,source
2026-07-14,167.21,2026-07-17,3,1.0325,2026-08-14,31,0.8029,1.286,thetadata_eod
2026-07-15,160.49,2026-07-17,2,1.0779,2026-08-14,30,0.8204,1.3138,thetadata_eod
2026-07-16,157.12,2026-07-17,1,0.9654,2026-08-14,29,0.7854,1.2292,thetadata_eod
2026-07-17,157.12,2026-07-24,7,0.737,2026-08-14,28,0.875,0.8423,thetadata_eod
2026-07-20,175.85,2026-07-24,4,1.2064,2026-08-21,32,0.8378,1.4399,thetadata_eod
2026-07-21,166.12,2026-07-24,3,1.1604,2026-08-21,31,0.8852,1.3108,thetadata_eod
2026-07-22,161.16,2026-07-24,2,1.0056,2026-08-21,30,0.842,1.1943,thetadata_eod
2026-07-23,158.29,2026-07-24,1,0.9366,2026-08-21,29,0.8508,1.1009,thetadata_eod
2026-07-24,158.29,2026-07-31,7,0.9637,2026-08-21,28,0.8166,1.1802,thetadata_eod
2026-07-27,167.9,2026-07-31,4,1.188,2026-08-28,32,0.7843,1.5146,thetadata_eod
2026-07-28,160.09,2026-07-31,3,1.4583,2026-08-28,31,0.817,1.7848,thetadata_eod
2026-07-29,163.58,2026-07-31,2,1.5351,2026-08-28,30,0.8639,1.777,thetadata_eod
2026-07-30,146.26,2026-07-31,1,0.2596,2026-08-28,29,0.9296,0.2793,thetadata_eod
2026-07-31,146.26,2026-08-07,7,0.7238,2026-08-28,28,0.6163,1.1744,thetadata_eod
2026-08-03,150.73,2026-08-07,4,0.8436,2026-09-04,32,0.7008,1.2037,thetadata_eod
2026-08-04,149.89,2026-08-07,3,0.8809,2026-09-04,31,0.7383,1.1932,thetadata_eod
2026-08-05,145.41,2026-08-07,2,0.9973,2026-09-04,30,0.7196,1.3859,thetadata_eod
2026-08-06,153.6,2026-08-07,1,0.2313,2026-09-04,29,0.6621,0.3493,thetadata_eod
2026-08-07,153.6,2026-08-14,7,0.6483,2026-09-04,28,0.6639,0.9765,thetadata_eod
2026-08-10,148.58,2026-08-14,4,0.7081,2026-09-11,32,0.6533,1.0838,thetadata_eod
2026-08-11,149.04,2026-08-14,3,0.7108,2026-09-11,31,0.6193,1.1479,thetadata_eod
2026-08-12,153.9,2026-08-14,2,0.8309,2026-09-11,30,0.6237,1.3323,thetadata_eod
2026-08-13,148.47,2026-08-14,1,1.0917,2026-09-11,29,0.6442,1.6948,thetadata_eod
2026-08-14,148.47,2026-08-21,7,0.5491,2026-09-11,28,0.6021,0.9119,thetadata_eod
2026-08-17,146.23,2026-08-21,4,0.7795,2026-09-18,32,0.6543,1.1913,thetadata_eod
2026-08-18,160.2,2026-08-21,3,1.229,2026-09-18,31,0.6426,1.9126,thetadata_eod
2026-08-19,172.35,2026-08-21,2,0.1572,2026-09-18,30,0.711,0.2211,thetadata_eod
2026-08-20,186.49,2026-08-21,1,0.3407,2026-09-18,29,0.7405,0.4601,thetadata_eod
2026-08-21,186.49,2026-08-28,7,0.7371,2026-09-18,28,0.6929,1.0637,thetadata_eod
2026-08-24,187.16,2026-08-28,4,0.9,2026-09-25,32,0.6267,1.4362,thetadata_eod
2026-08-25,181.78,2026-08-28,3,0.803,2026-09-25,31,0.6861,1.1704,thetadata_eod
2026-08-26,190.72,2026-08-28,2,0.9967,2026-09-25,30,0.6922,1.4399,thetadata_eod
2026-08-27,178.64,2026-08-28,1,0.1617,2026-09-25,29,0.7654,0.2112,thetadata_eod
2026-08-28,178.64,2026-09-04,7,0.5978,2026-09-25,28,0.5428,1.1013,thetadata_eod
