date,spot,near_exp,near_dte,atm_iv_near,monthly_exp,monthly_dte,atm_iv_monthly,term_ratio,source
2026-07-14,97.47,2026-07-17,3,0.9464,2026-08-14,31,0.8951,1.0573,thetadata_eod
2026-07-15,94.03,2026-07-17,2,0.9639,2026-08-14,30,0.9274,1.0394,thetadata_eod
2026-07-16,94.85,2026-07-17,1,0.928,2026-08-14,29,0.8643,1.0737,thetadata_eod
2026-07-17,94.85,2026-07-24,7,0.8188,2026-08-14,28,0.8593,0.9529,thetadata_eod
2026-07-20,101.95,2026-07-24,4,0.9696,2026-08-21,32,0.809,1.1984,thetadata_eod
2026-07-21,100.01,2026-07-24,3,0.9295,2026-08-21,31,0.8563,1.0855,thetadata_eod
2026-07-22,93.63,2026-07-24,2,1.3135,2026-08-21,30,0.8685,1.5124,thetadata_eod
2026-07-23,91.67,2026-07-24,1,0.9145,2026-08-21,29,0.7974,1.147,thetadata_eod
2026-07-24,91.67,2026-07-31,7,0.8512,2026-08-21,28,0.7989,1.0654,thetadata_eod
2026-07-27,96.16,2026-07-31,4,1.0524,2026-08-28,32,0.8494,1.2391,thetadata_eod
2026-07-28,93.33,2026-07-31,3,1.1143,2026-08-28,31,0.8083,1.3786,thetadata_eod
2026-07-29,97.74,2026-07-31,2,1.2577,2026-08-28,30,0.7922,1.5877,thetadata_eod
2026-07-30,93.28,2026-07-31,1,0.4984,2026-08-28,29,0.8249,0.6042,thetadata_eod
2026-07-31,93.28,2026-08-07,7,0.7532,2026-08-28,28,0.7971,0.9449,thetadata_eod
2026-08-03,97.65,2026-08-07,4,0.8101,2026-09-04,32,0.7399,1.0949,thetadata_eod
2026-08-04,98.37,2026-08-07,3,0.8064,2026-09-04,31,0.7919,1.0184,thetadata_eod
2026-08-05,96.85,2026-08-07,2,0.8508,2026-09-04,30,0.744,1.1436,thetadata_eod
2026-08-06,100.01,2026-08-07,1,1.0132,2026-09-04,29,0.6822,1.4851,thetadata_eod
2026-08-07,100.01,2026-08-14,7,0.6956,2026-09-04,28,0.6991,0.9949,thetadata_eod
2026-08-10,96.09,2026-08-14,4,0.7744,2026-09-11,32,0.7122,1.0873,thetadata_eod
2026-08-11,94.83,2026-08-14,3,0.7634,2026-09-11,31,0.7027,1.0863,thetadata_eod
2026-08-12,97.1,2026-08-14,2,0.7641,2026-09-11,30,0.6335,1.2063,thetadata_eod
2026-08-13,93.04,2026-08-14,1,1.2491,2026-09-11,29,0.7377,1.6932,thetadata_eod
2026-08-14,93.04,2026-08-21,7,0.6007,2026-09-11,28,0.6147,0.9772,thetadata_eod
2026-08-17,92.52,2026-08-21,4,0.8931,2026-09-18,32,0.7054,1.2661,thetadata_eod
2026-08-18,104.25,2026-08-21,3,0.1183,2026-09-18,31,0.7507,0.1575,thetadata_eod
2026-08-19,112.39,2026-08-21,2,0.1451,2026-09-18,30,0.73,0.1987,thetadata_eod
2026-08-20,119.25,2026-08-21,1,0.2279,2026-09-18,29,0.7973,0.2859,thetadata_eod
2026-08-21,119.25,2026-08-28,7,0.8149,2026-09-18,28,0.7689,1.0599,thetadata_eod
2026-08-24,126.83,2026-08-28,4,0.9942,2026-09-25,32,0.7753,1.2824,thetadata_eod
2026-08-25,123.19,2026-08-28,3,0.9595,2026-09-25,31,0.7718,1.2432,thetadata_eod
2026-08-26,137.4,2026-08-28,2,0.1234,2026-09-25,30,0.7656,0.1612,thetadata_eod
2026-08-27,127.31,2026-08-28,1,0.1195,2026-09-25,29,0.7979,0.1497,thetadata_eod
2026-08-28,127.31,2026-09-04,7,0.6806,2026-09-25,28,0.6576,1.0348,thetadata_eod
