date,spot,near_exp,near_dte,atm_iv_near,monthly_exp,monthly_dte,atm_iv_monthly,term_ratio,source
2026-07-14,199.51,2026-07-17,3,1.4346,2026-08-14,31,1.3908,1.0315,thetadata_eod
2026-07-15,171.77,2026-07-17,2,0.1496,2026-08-14,30,1.6987,0.0881,thetadata_eod
2026-07-16,177.71,2026-07-17,1,0.8391,2026-08-14,29,1.4506,0.5784,thetadata_eod
2026-07-17,177.71,2026-07-24,7,1.544,2026-08-14,28,1.5217,1.0147,thetadata_eod
2026-07-20,216.92,2026-07-24,4,0.2882,2026-08-21,32,1.5723,0.1833,thetadata_eod
2026-07-21,218.16,2026-07-24,3,1.7088,2026-08-21,31,1.6092,1.0619,thetadata_eod
2026-07-22,220.97,2026-07-24,2,1.6934,2026-08-21,30,1.5747,1.0754,thetadata_eod
2026-07-23,187.77,2026-07-24,1,0.1496,2026-08-21,29,1.116,0.134,thetadata_eod
2026-07-24,187.77,2026-07-31,7,1.615,2026-08-21,28,1.6209,0.9964,thetadata_eod
2026-07-27,169.69,2026-07-31,4,0.831,2026-08-28,32,1.6801,0.4946,thetadata_eod
2026-07-28,148.22,2026-07-31,3,0.6889,2026-08-28,31,1.7137,0.402,thetadata_eod
2026-07-29,188.43,2026-07-31,2,0.2167,2026-08-28,30,0.8538,0.2538,thetadata_eod
2026-07-30,190.41,2026-07-31,1,1.6971,2026-08-28,29,1.3498,1.2573,thetadata_eod
2026-07-31,190.41,2026-08-07,7,1.3332,2026-08-28,28,1.3727,0.9712,thetadata_eod
2026-08-03,225.74,2026-08-07,4,1.615,2026-09-04,32,1.5336,1.0531,thetadata_eod
2026-08-04,218.99,2026-08-07,3,1.7465,2026-09-04,31,1.4768,1.1826,thetadata_eod
2026-08-05,189.88,2026-08-07,2,0.2471,2026-09-04,30,1.5396,0.1605,thetadata_eod
2026-08-06,187.97,2026-08-07,1,1.4727,2026-09-04,29,1.285,1.1461,thetadata_eod
2026-08-07,187.97,2026-08-14,7,1.452,2026-09-04,28,1.226,1.1844,thetadata_eod
2026-08-10,193.23,2026-08-14,4,1.5846,2026-09-11,32,1.0956,1.4464,thetadata_eod
2026-08-11,259.2,2026-08-14,3,0.1185,2026-09-11,31,1.3364,0.0887,thetadata_eod
2026-08-12,255.04,2026-08-14,2,1.3286,2026-09-11,30,1.0785,1.2319,thetadata_eod
2026-08-13,277.68,2026-08-14,1,0.1356,2026-09-11,29,1.0227,0.1326,thetadata_eod
2026-08-14,277.68,2026-08-21,7,1.026,2026-09-11,28,1.0105,1.0154,thetadata_eod
2026-08-17,248.43,2026-08-21,4,1.4792,2026-09-18,32,1.0765,1.374,thetadata_eod
2026-08-18,223.9,2026-08-21,3,0.1724,2026-09-18,31,1.0635,0.1621,thetadata_eod
2026-08-19,220.11,2026-08-21,2,1.1562,2026-09-18,30,0.9484,1.2191,thetadata_eod
2026-08-20,219.13,2026-08-21,1,1.0194,2026-09-18,29,0.9392,1.0854,thetadata_eod
2026-08-21,219.13,2026-08-28,7,0.87,2026-09-18,28,0.8985,0.9683,thetadata_eod
2026-08-24,221.97,2026-08-28,4,1.1468,2026-09-25,32,0.898,1.277,thetadata_eod
2026-08-25,213.93,2026-08-28,3,1.0571,2026-09-25,31,0.9301,1.1366,thetadata_eod
2026-08-26,218.48,2026-08-28,2,1.0492,2026-09-25,30,0.8916,1.1768,thetadata_eod
2026-08-27,209.18,2026-08-28,1,1.2979,2026-09-25,29,0.8632,1.5036,thetadata_eod
2026-08-28,209.18,2026-09-04,7,0.7461,2026-09-25,28,0.7837,0.952,thetadata_eod
