date,spot,near_exp,near_dte,atm_iv_near,monthly_exp,monthly_dte,atm_iv_monthly,term_ratio,source
2026-07-14,17.87,2026-07-17,3,1.1003,2026-08-14,31,1.0202,1.0786,thetadata_eod
2026-07-15,16.2,2026-07-17,2,0.3169,2026-08-14,30,1.1344,0.2794,thetadata_eod
2026-07-16,16.03,2026-07-17,1,1.076,2026-08-14,29,0.9121,1.1797,thetadata_eod
2026-07-17,16.03,2026-07-24,7,0.9956,2026-08-14,28,1.0223,0.9739,thetadata_eod
2026-07-20,17.3,2026-07-24,4,1.2206,2026-08-21,32,1.0221,1.1942,thetadata_eod
2026-07-21,17.32,2026-07-24,3,1.1868,2026-08-21,31,1.0437,1.1371,thetadata_eod
2026-07-22,16.88,2026-07-24,2,1.166,2026-08-21,30,1.0018,1.1639,thetadata_eod
2026-07-23,15.59,2026-07-24,1,0.2728,2026-08-21,29,1.0448,0.2611,thetadata_eod
2026-07-24,15.59,2026-07-31,7,1.0892,2026-08-21,28,0.906,1.2022,thetadata_eod
2026-07-27,16.06,2026-07-31,4,1.1657,2026-08-28,32,1.1171,1.0435,thetadata_eod
2026-07-28,14.88,2026-07-31,3,0.4797,2026-08-28,31,1.1659,0.4114,thetadata_eod
2026-07-29,16.68,2026-07-31,2,0.4007,2026-08-28,30,1.0612,0.3776,thetadata_eod
2026-07-30,15.91,2026-07-31,1,1.3889,2026-08-28,29,1.0228,1.3579,thetadata_eod
2026-07-31,15.91,2026-08-07,7,0.9478,2026-08-28,28,1.0925,0.8676,thetadata_eod
2026-08-03,18.17,2026-08-07,4,1.3352,2026-09-04,32,0.9229,1.4467,thetadata_eod
2026-08-04,17.88,2026-08-07,3,1.2319,2026-09-04,31,1.0856,1.1348,thetadata_eod
2026-08-05,17.61,2026-08-07,2,1.2415,2026-09-04,30,1.0262,1.2098,thetadata_eod
2026-08-06,18.85,2026-08-07,1,0.3025,2026-09-04,29,0.9795,0.3088,thetadata_eod
2026-08-07,18.85,2026-08-14,7,1.0283,2026-09-04,28,0.961,1.07,thetadata_eod
2026-08-10,19.38,2026-08-14,4,1.1701,2026-09-11,32,0.9803,1.1936,thetadata_eod
2026-08-11,19.01,2026-08-14,3,1.1866,2026-09-11,31,0.8936,1.3279,thetadata_eod
2026-08-12,20.52,2026-08-14,2,1.3967,2026-09-11,30,0.9423,1.4822,thetadata_eod
2026-08-13,19.66,2026-08-14,1,1.8769,2026-09-11,29,0.8371,2.2422,thetadata_eod
2026-08-14,19.66,2026-08-21,7,0.807,2026-09-11,28,0.8554,0.9434,thetadata_eod
2026-08-17,18.25,2026-08-21,4,1.144,2026-09-18,32,0.9641,1.1867,thetadata_eod
2026-08-18,19.15,2026-08-21,3,0.9798,2026-09-18,31,0.7871,1.2449,thetadata_eod
2026-08-19,18.23,2026-08-21,2,1.1488,2026-09-18,30,0.887,1.2952,thetadata_eod
2026-08-20,18.85,2026-08-21,1,1.377,2026-09-18,29,0.82,1.6792,thetadata_eod
2026-08-21,18.85,2026-08-28,7,0.8074,2026-09-18,28,0.8789,0.9187,thetadata_eod
2026-08-24,19.24,2026-08-28,4,0.9888,2026-09-25,32,0.8552,1.1562,thetadata_eod
2026-08-25,18.5,2026-08-28,3,0.9721,2026-09-25,31,0.8702,1.1171,thetadata_eod
2026-08-26,19.24,2026-08-28,2,1.1724,2026-09-25,30,0.8353,1.4036,thetadata_eod
2026-08-27,17.97,2026-08-28,1,0.0919,2026-09-25,29,0.9402,0.0977,thetadata_eod
2026-08-28,17.97,2026-09-04,7,0.7555,2026-09-25,28,0.7703,0.9808,thetadata_eod
