date,spot,near_exp,near_dte,atm_iv_near,monthly_exp,monthly_dte,atm_iv_monthly,term_ratio,source
2026-07-14,212.5,2026-07-15,1,0.4215,2026-08-14,31,0.4006,1.0521,thetadata_eod
2026-07-15,207.4,2026-07-17,2,0.5658,2026-08-14,30,0.43,1.3158,thetadata_eod
2026-07-16,202.81,2026-07-17,1,0.7001,2026-08-14,29,0.4204,1.6654,thetadata_eod
2026-07-17,202.81,2026-07-20,3,0.3179,2026-08-14,28,0.4124,0.771,thetadata_eod
2026-07-20,207.29,2026-07-22,2,0.4571,2026-08-21,32,0.3877,1.179,thetadata_eod
2026-07-21,212.06,2026-07-22,1,0.6227,2026-08-21,31,0.3991,1.5601,thetadata_eod
2026-07-22,208.76,2026-07-24,2,0.4653,2026-08-21,30,0.3956,1.1762,thetadata_eod
2026-07-23,206.84,2026-07-24,1,0.4079,2026-08-21,29,0.4084,0.9988,thetadata_eod
2026-07-24,206.84,2026-07-27,3,0.28,2026-08-21,28,0.4033,0.6942,thetadata_eod
2026-07-27,197.01,2026-07-29,2,0.5048,2026-08-28,32,0.4678,1.0789,thetadata_eod
2026-07-28,190.01,2026-07-29,1,0.9316,2026-08-28,31,0.5012,1.859,thetadata_eod
2026-07-29,195.04,2026-07-31,2,0.6782,2026-08-28,30,0.4705,1.4415,thetadata_eod
2026-07-30,200.75,2026-07-31,1,1.3196,2026-08-28,29,0.4555,2.8969,thetadata_eod
2026-07-31,200.75,2026-08-03,3,0.2911,2026-08-28,28,0.4565,0.6376,thetadata_eod
2026-08-03,211.94,2026-08-05,2,0.6111,2026-09-04,32,0.4392,1.3915,thetadata_eod
2026-08-04,219.22,2026-08-05,1,0.88,2026-09-04,31,0.435,2.0228,thetadata_eod
2026-08-05,218.99,2026-08-07,2,0.4312,2026-09-04,30,0.4324,0.9972,thetadata_eod
2026-08-06,223.96,2026-08-07,1,0.7055,2026-09-04,29,0.4189,1.6843,thetadata_eod
2026-08-07,223.96,2026-08-10,3,0.2444,2026-09-04,28,0.4062,0.6018,thetadata_eod
2026-08-10,217.5,2026-08-12,2,0.3683,2026-09-11,32,0.3942,0.9342,thetadata_eod
2026-08-11,224.09,2026-08-12,1,0.7737,2026-09-11,31,0.3976,1.9458,thetadata_eod
2026-08-12,225.3,2026-08-14,2,0.3618,2026-09-11,30,0.4027,0.8985,thetadata_eod
2026-08-13,225.16,2026-08-14,1,0.3475,2026-09-11,29,0.3928,0.8848,thetadata_eod
2026-08-14,225.16,2026-08-17,3,0.2036,2026-09-11,28,0.3805,0.535,thetadata_eod
2026-08-17,219.74,2026-08-19,2,0.4785,2026-09-18,32,0.4014,1.192,thetadata_eod
2026-08-18,217.56,2026-08-19,1,0.4204,2026-09-18,31,0.3941,1.0669,thetadata_eod
2026-08-19,216.85,2026-08-21,2,0.3724,2026-09-18,30,0.4007,0.9294,thetadata_eod
2026-08-20,214.72,2026-08-21,1,0.4001,2026-09-18,29,0.4107,0.9743,thetadata_eod
2026-08-21,214.72,2026-08-24,3,0.2237,2026-09-18,28,0.4031,0.555,thetadata_eod
2026-08-24,213.05,2026-08-28,4,0.7425,2026-09-25,32,0.4242,1.7504,thetadata_eod
2026-08-25,209.66,2026-08-28,3,0.8383,2026-09-25,31,0.4151,2.0198,thetadata_eod
2026-08-26,227.98,2026-08-28,2,0.1496,2026-09-25,30,0.5172,0.2892,thetadata_eod
2026-08-27,217.55,2026-08-28,1,1.1694,2026-09-25,29,0.373,3.1355,thetadata_eod
2026-08-28,217.55,2026-08-31,3,0.2484,2026-09-25,28,0.3244,0.7659,thetadata_eod
