date,spot,near_exp,near_dte,atm_iv_near,monthly_exp,monthly_dte,atm_iv_monthly,term_ratio,source
2023-06-01,352.01,2023-06-02,1,0.2435,2023-06-30,29,0.1832,1.3289,thetadata_eod
2023-06-02,354.65,2023-06-05,3,0.1089,2023-06-30,28,0.1777,0.613,thetadata_eod
2023-06-05,354.9,2023-06-06,1,0.1821,2023-07-07,32,0.1797,1.0135,thetadata_eod
2023-06-06,354.84,2023-06-07,1,0.1638,2023-07-07,31,0.1711,0.9576,thetadata_eod
2023-06-07,348.82,2023-06-08,1,0.2003,2023-07-07,30,0.1765,1.1348,thetadata_eod
2023-06-08,353.15,2023-06-09,1,0.1896,2023-07-07,29,0.1713,1.1069,thetadata_eod
2023-06-09,354.5,2023-06-12,3,0.1237,2023-07-07,28,0.1697,0.7288,thetadata_eod
2023-06-12,360.49,2023-06-13,1,0.2964,2023-07-14,32,0.1853,1.5997,thetadata_eod
2023-06-13,363.26,2023-06-14,1,0.3016,2023-07-14,31,0.1801,1.6747,thetadata_eod
2023-06-14,365.9,2023-06-15,1,0.2284,2023-07-14,30,0.1734,1.3167,thetadata_eod
2023-06-15,370.26,2023-06-16,1,0.2356,2023-07-14,29,0.1872,1.2586,thetadata_eod
2023-06-16,367.93,2023-06-20,4,0.0966,2023-07-14,28,0.1786,0.541,thetadata_eod
2023-06-20,366.9,2023-06-21,1,0.2016,2023-07-21,31,0.1844,1.0936,thetadata_eod
2023-06-21,361.9,2023-06-22,1,0.1958,2023-07-21,30,0.1808,1.0829,thetadata_eod
2023-06-22,366.17,2023-06-23,1,0.1887,2023-07-21,29,0.1736,1.0871,thetadata_eod
2023-06-23,362.54,2023-06-26,3,0.117,2023-07-21,28,0.1728,0.6773,thetadata_eod
2023-06-26,357.68,2023-06-27,1,0.2076,2023-07-28,32,0.1921,1.0807,thetadata_eod
2023-06-27,363.83,2023-06-28,1,0.1868,2023-07-28,31,0.1872,0.9979,thetadata_eod
2023-06-28,364.54,2023-06-29,1,0.1864,2023-07-28,30,0.187,0.9971,thetadata_eod
2023-06-29,363.81,2023-06-30,1,0.2039,2023-07-28,29,0.1839,1.1087,thetadata_eod
2023-06-30,369.42,2023-07-03,3,0.0859,2023-07-28,28,0.1786,0.4809,thetadata_eod
2023-07-03,370.29,2023-07-05,2,0.1135,2023-08-04,32,0.1816,0.6247,thetadata_eod
2023-07-05,370.28,2023-07-06,1,0.1602,2023-08-04,30,0.1853,0.8645,thetadata_eod
2023-07-06,367.46,2023-07-07,1,0.2135,2023-08-04,29,0.1952,1.0938,thetadata_eod
2023-07-07,366.24,2023-07-10,3,0.0979,2023-08-04,28,0.1919,0.5099,thetadata_eod
2023-07-10,366.36,2023-07-11,1,0.1673,2023-08-11,32,0.2008,0.8332,thetadata_eod
2023-07-11,368.17,2023-07-12,1,0.2489,2023-08-11,31,0.1797,1.385,thetadata_eod
2023-07-12,372.82,2023-07-13,1,0.1643,2023-08-11,30,0.1805,0.9101,thetadata_eod
2023-07-13,379.15,2023-07-14,1,0.1848,2023-08-11,29,0.1838,1.0056,thetadata_eod
2023-07-14,379.07,2023-07-17,3,0.1067,2023-08-11,28,0.1822,0.5855,thetadata_eod
2023-07-17,382.61,2023-07-18,1,0.1668,2023-08-18,32,0.1792,0.9307,thetadata_eod
2023-07-18,385.74,2023-07-19,1,0.1859,2023-08-18,31,0.1757,1.0578,thetadata_eod
2023-07-19,385.65,2023-07-20,1,0.1962,2023-08-18,30,0.1811,1.0832,thetadata_eod
2023-07-20,376.76,2023-07-21,1,0.2152,2023-08-18,29,0.1832,1.1744,thetadata_eod
2023-07-21,375.63,2023-07-24,3,0.1143,2023-08-18,28,0.1763,0.6479,thetadata_eod
2023-07-24,376.23,2023-07-25,1,0.2332,2023-08-25,32,0.1871,1.2468,thetadata_eod
2023-07-25,378.78,2023-07-26,1,0.3064,2023-08-25,31,0.1796,1.7057,thetadata_eod
2023-07-26,377.52,2023-07-27,1,0.2118,2023-08-25,30,0.1752,1.2086,thetadata_eod
2023-07-27,376.62,2023-07-28,1,0.2288,2023-08-25,29,0.179,1.2786,thetadata_eod
2023-07-28,383.48,2023-07-31,3,0.1066,2023-08-25,28,0.172,0.6201,thetadata_eod
2023-07-31,383.68,2023-08-01,1,0.1591,2023-09-01,32,0.1712,0.9294,thetadata_eod
2023-08-01,382.79,2023-08-02,1,0.163,2023-09-01,31,0.181,0.9007,thetadata_eod
2023-08-02,374.39,2023-08-03,1,0.2588,2023-09-01,30,0.1993,1.2988,thetadata_eod
2023-08-03,373.79,2023-08-04,1,0.3079,2023-09-01,29,0.2078,1.4816,thetadata_eod
2023-08-04,372.04,2023-08-07,3,0.1244,2023-09-01,28,0.2022,0.6152,thetadata_eod
2023-08-07,375.19,2023-08-08,1,0.1687,2023-09-08,32,0.1865,0.9049,thetadata_eod
2023-08-08,372.0,2023-08-09,1,0.1847,2023-09-08,31,0.1957,0.9438,thetadata_eod
2023-08-09,367.91,2023-08-10,1,0.2961,2023-09-08,30,0.1995,1.4845,thetadata_eod
2023-08-10,368.59,2023-08-11,1,0.218,2023-09-08,29,0.1943,1.1223,thetadata_eod
2023-08-11,366.24,2023-08-14,3,0.1294,2023-09-08,28,0.1913,0.6764,thetadata_eod
2023-08-14,370.35,2023-08-15,1,0.1949,2023-09-15,32,0.1891,1.031,thetadata_eod
2023-08-15,366.42,2023-08-16,1,0.2183,2023-09-15,31,0.2005,1.0888,thetadata_eod
2023-08-16,362.54,2023-08-17,1,0.2227,2023-09-15,30,0.203,1.0971,thetadata_eod
2023-08-17,358.58,2023-08-18,1,0.2408,2023-09-15,29,0.2101,1.1459,thetadata_eod
2023-08-18,358.13,2023-08-21,3,0.1368,2023-09-15,28,0.2031,0.6738,thetadata_eod
2023-08-21,363.9,2023-08-22,1,0.2007,2023-09-22,32,0.2103,0.9541,thetadata_eod
2023-08-22,363.38,2023-08-23,1,0.2555,2023-09-22,31,0.2068,1.2356,thetadata_eod
2023-08-23,369.11,2023-08-24,1,0.325,2023-09-22,30,0.1986,1.6362,thetadata_eod
2023-08-24,361.22,2023-08-25,1,0.2835,2023-09-22,29,0.2055,1.3791,thetadata_eod
2023-08-25,364.02,2023-08-28,3,0.1287,2023-09-22,28,0.1952,0.6592,thetadata_eod
2023-08-28,366.76,2023-08-29,1,0.1877,2023-09-29,32,0.1892,0.992,thetadata_eod
2023-08-29,374.77,2023-08-30,1,0.1908,2023-09-29,31,0.1787,1.0676,thetadata_eod
2023-08-30,376.86,2023-08-31,1,0.188,2023-09-29,30,0.1756,1.0705,thetadata_eod
2023-08-31,377.99,2023-09-01,1,0.2059,2023-09-29,29,0.1707,1.2061,thetadata_eod
2023-09-01,377.59,2023-09-05,4,0.0896,2023-09-29,28,0.1672,0.5355,thetadata_eod
2023-09-05,378.07,2023-09-06,1,0.1633,2023-10-06,31,0.1772,0.9216,thetadata_eod
2023-09-06,374.74,2023-09-07,1,0.1638,2023-10-06,30,0.1786,0.917,thetadata_eod
2023-09-07,372.06,2023-09-08,1,0.1814,2023-10-06,29,0.1804,1.0058,thetadata_eod
2023-09-08,372.58,2023-09-11,3,0.1013,2023-10-06,28,0.1784,0.5678,thetadata_eod
2023-09-11,376.97,2023-09-12,1,0.1556,2023-10-13,32,0.1708,0.9112,thetadata_eod
2023-09-12,372.79,2023-09-13,1,0.2233,2023-10-13,31,0.1777,1.257,thetadata_eod
2023-09-13,374.21,2023-09-14,1,0.1806,2023-10-13,30,0.1683,1.0732,thetadata_eod
2023-09-14,377.27,2023-09-15,1,0.1706,2023-10-13,29,0.1538,1.1091,thetadata_eod
2023-09-15,370.81,2023-09-18,3,0.1048,2023-10-13,28,0.1688,0.6207,thetadata_eod
2023-09-18,370.66,2023-09-19,1,0.1568,2023-10-20,32,0.1761,0.8904,thetadata_eod
2023-09-19,369.87,2023-09-20,1,0.2226,2023-10-20,31,0.1766,1.2607,thetadata_eod
2023-09-20,364.54,2023-09-21,1,0.2116,2023-10-20,30,0.187,1.1316,thetadata_eod
2023-09-21,357.86,2023-09-22,1,0.2354,2023-10-20,29,0.2071,1.1367,thetadata_eod
2023-09-22,357.91,2023-09-25,3,0.1402,2023-10-20,28,0.2071,0.6771,thetadata_eod
2023-09-25,359.61,2023-09-26,1,0.2069,2023-10-27,32,0.2068,1.0004,thetadata_eod
2023-09-26,354.21,2023-09-27,1,0.2383,2023-10-27,31,0.2199,1.0835,thetadata_eod
2023-09-27,355.04,2023-09-28,1,0.2522,2023-10-27,30,0.2152,1.1719,thetadata_eod
2023-09-28,358.01,2023-09-29,1,0.2515,2023-10-27,29,0.208,1.2091,thetadata_eod
2023-09-29,358.27,2023-10-02,3,0.145,2023-10-27,28,0.2088,0.6945,thetadata_eod
2023-10-02,361.26,2023-10-03,1,0.2089,2023-11-03,32,0.217,0.9626,thetadata_eod
2023-10-03,354.92,2023-10-04,1,0.2408,2023-11-03,31,0.2301,1.0468,thetadata_eod
2023-10-04,359.75,2023-10-05,1,0.2147,2023-11-03,30,0.2205,0.9734,thetadata_eod
2023-10-05,358.69,2023-10-06,1,0.2773,2023-11-03,29,0.2169,1.2783,thetadata_eod
2023-10-06,364.7,2023-10-09,3,0.1246,2023-11-03,28,0.204,0.6107,thetadata_eod
2023-10-09,366.56,2023-10-10,1,0.1928,2023-11-10,32,0.2082,0.9263,thetadata_eod
2023-10-10,368.59,2023-10-11,1,0.203,2023-11-10,31,0.1984,1.0233,thetadata_eod
2023-10-11,371.22,2023-10-12,1,0.2293,2023-11-10,30,0.191,1.2002,thetadata_eod
2023-10-12,369.93,2023-10-13,1,0.1909,2023-11-10,29,0.1903,1.0034,thetadata_eod
2023-10-13,365.28,2023-10-16,3,0.1547,2023-11-10,28,0.2091,0.7399,thetadata_eod
