date,spot,near_exp,near_dte,atm_iv_near,monthly_exp,monthly_dte,atm_iv_monthly,term_ratio,source
2026-07-14,52.21,2026-07-15,1,0.6309,2026-08-14,31,0.4236,1.4892,thetadata_eod
2026-07-15,50.39,2026-07-17,2,0.683,2026-08-14,30,0.4694,1.455,thetadata_eod
2026-07-16,50.78,2026-07-17,1,0.5911,2026-08-14,29,0.4135,1.4297,thetadata_eod
2026-07-17,50.78,2026-07-20,3,0.3012,2026-08-14,28,0.4323,0.6967,thetadata_eod
2026-07-20,53.08,2026-07-22,2,1.3011,2026-08-21,32,0.4358,2.9857,thetadata_eod
2026-07-21,53.92,2026-07-22,1,0.567,2026-08-21,31,0.4171,1.3594,thetadata_eod
2026-07-22,52.06,2026-07-24,2,0.7382,2026-08-21,30,0.4623,1.597,thetadata_eod
2026-07-23,52.59,2026-07-24,1,0.5409,2026-08-21,29,0.4399,1.2297,thetadata_eod
2026-07-24,52.59,2026-07-27,3,0.27,2026-08-21,28,0.4182,0.6457,thetadata_eod
2026-07-27,51.7,2026-07-29,2,0.6359,2026-08-28,32,0.4351,1.4614,thetadata_eod
2026-07-28,51.77,2026-07-29,1,0.5848,2026-08-28,31,0.4197,1.3932,thetadata_eod
2026-07-29,53.5,2026-07-31,2,0.7124,2026-08-28,30,0.3946,1.8052,thetadata_eod
2026-07-30,52.36,2026-07-31,1,0.6217,2026-08-28,29,0.4481,1.3875,thetadata_eod
2026-07-31,52.36,2026-08-03,3,0.2413,2026-08-28,28,0.4135,0.5835,thetadata_eod
2026-08-03,53.84,2026-08-05,2,0.5151,2026-09-04,32,0.4196,1.2274,thetadata_eod
2026-08-04,56.07,2026-08-07,3,0.626,2026-09-04,31,0.4492,1.3937,thetadata_eod
2026-08-05,55.85,2026-08-07,2,0.4864,2026-09-04,30,0.4373,1.1122,thetadata_eod
2026-08-06,57.5,2026-08-07,1,0.8206,2026-09-04,29,0.4433,1.851,thetadata_eod
2026-08-07,57.5,2026-08-10,3,0.3078,2026-09-04,28,0.4258,0.7228,thetadata_eod
2026-08-10,58.55,2026-08-12,2,0.5872,2026-09-11,32,0.4923,1.1928,thetadata_eod
2026-08-11,59.06,2026-08-12,1,0.5878,2026-09-11,31,0.4438,1.3242,thetadata_eod
2026-08-12,58.16,2026-08-14,2,0.5198,2026-09-11,30,0.4401,1.1811,thetadata_eod
2026-08-13,58.48,2026-08-14,1,0.4299,2026-09-11,29,0.39,1.1023,thetadata_eod
2026-08-14,58.48,2026-08-17,3,0.2411,2026-09-11,28,0.3736,0.6455,thetadata_eod
2026-08-17,57.44,2026-08-19,2,0.6804,2026-09-18,32,0.4372,1.5562,thetadata_eod
2026-08-18,60.01,2026-08-21,3,0.6916,2026-09-18,31,0.4282,1.6151,thetadata_eod
2026-08-19,61.66,2026-08-21,2,0.6273,2026-09-18,30,0.4507,1.3917,thetadata_eod
2026-08-20,62.72,2026-08-21,1,0.5851,2026-09-18,29,0.4435,1.3191,thetadata_eod
2026-08-21,62.72,2026-08-24,3,0.2994,2026-09-18,28,0.4376,0.6843,thetadata_eod
2026-08-24,62.32,2026-08-26,2,0.4599,2026-09-25,32,0.4612,0.9973,thetadata_eod
2026-08-25,61.59,2026-08-26,1,0.4928,2026-09-25,31,0.4726,1.0426,thetadata_eod
2026-08-26,62.77,2026-08-28,2,0.5818,2026-09-25,30,0.4552,1.278,thetadata_eod
2026-08-27,60.02,2026-08-28,1,1.0893,2026-09-25,29,0.4806,2.2666,thetadata_eod
2026-08-28,60.02,2026-08-31,3,0.2879,2026-09-25,28,0.42,0.6855,thetadata_eod
