date,spot,near_exp,near_dte,atm_iv_near,monthly_exp,monthly_dte,atm_iv_monthly,term_ratio,source
2026-07-14,1615.0,2026-07-17,3,0.6735,2026-08-14,31,1.5172,0.4439,thetadata_eod
2026-07-15,1411.08,2026-07-17,2,0.3174,2026-08-14,30,1.6643,0.1907,thetadata_eod
2026-07-16,1354.82,2026-07-17,1,1.0235,2026-08-14,29,1.4572,0.7024,thetadata_eod
2026-07-17,1354.8199,2026-07-24,7,1.6238,2026-08-14,28,1.6021,1.0135,thetadata_eod
2026-07-20,1589.4,2026-07-24,4,0.4312,2026-08-21,32,1.5131,0.285,thetadata_eod
2026-07-21,1599.27,2026-07-24,3,1.5447,2026-08-21,31,1.5375,1.0047,thetadata_eod
2026-07-22,1610.33,2026-07-24,2,1.4594,2026-08-21,30,1.4439,1.0107,thetadata_eod
2026-07-23,1436.56,2026-07-24,1,0.1779,2026-08-21,29,1.5599,0.114,thetadata_eod
2026-07-24,1436.5601,2026-07-31,7,1.3115,2026-08-21,28,1.3634,0.962,thetadata_eod
2026-07-27,1096.1,2026-07-31,4,0.6442,2026-08-28,32,1.7008,0.3788,thetadata_eod
2026-07-28,1015.89,2026-07-31,3,1.0775,2026-08-28,31,1.4972,0.7197,thetadata_eod
2026-07-29,1279.96,2026-07-31,2,0.0752,2026-08-28,30,1.4678,0.0512,thetadata_eod
2026-07-30,1214.83,2026-07-31,1,1.2845,2026-08-28,29,1.3341,0.9628,thetadata_eod
2026-07-31,1214.83,2026-08-07,7,1.7201,2026-08-28,28,1.3239,1.2992,thetadata_eod
2026-08-03,1427.62,2026-08-07,4,0.9021,2026-09-04,32,1.2357,0.73,thetadata_eod
2026-08-04,1350.5,2026-08-07,3,1.4543,2026-09-04,31,1.3765,1.0565,thetadata_eod
2026-08-05,1258.58,2026-08-07,2,1.1172,2026-09-04,30,1.3387,0.8346,thetadata_eod
2026-08-06,1212.21,2026-08-07,1,0.5895,2026-09-04,29,1.1587,0.5088,thetadata_eod
2026-08-07,1212.21,2026-08-14,7,0.95,2026-09-04,28,0.932,1.0192,thetadata_eod
2026-08-10,1271.05,2026-08-14,4,1.0281,2026-09-11,32,0.9518,1.0802,thetadata_eod
2026-08-11,1344.29,2026-08-14,3,1.1686,2026-09-11,31,0.8765,1.3333,thetadata_eod
2026-08-12,1528.11,2026-08-14,2,0.0929,2026-09-11,30,0.9348,0.0994,thetadata_eod
2026-08-13,1641.11,2026-08-14,1,1.3066,2026-09-11,29,0.9486,1.3774,thetadata_eod
2026-08-14,1641.11,2026-08-21,7,0.8188,2026-09-11,28,0.8914,0.9186,thetadata_eod
2026-08-17,1625.78,2026-08-21,4,0.221,2026-09-18,32,0.9814,0.2251,thetadata_eod
2026-08-18,1568.87,2026-08-21,3,1.0753,2026-09-18,31,0.8655,1.2425,thetadata_eod
2026-08-19,1600.62,2026-08-21,2,1.0214,2026-09-18,30,0.8393,1.2169,thetadata_eod
2026-08-20,1596.08,2026-08-21,1,0.9171,2026-09-18,29,0.8351,1.0982,thetadata_eod
2026-08-21,1596.08,2026-08-28,7,0.7367,2026-09-18,28,0.7667,0.9609,thetadata_eod
2026-08-24,1480.77,2026-08-28,4,0.9148,2026-09-25,32,0.7086,1.291,thetadata_eod
2026-08-25,1499.37,2026-08-28,3,0.8882,2026-09-25,31,0.7645,1.1618,thetadata_eod
2026-08-26,1484.95,2026-08-28,2,0.9307,2026-09-25,30,0.7895,1.1789,thetadata_eod
2026-08-27,1484.98,2026-08-28,1,0.8146,2026-09-25,29,0.7441,1.0947,thetadata_eod
2026-08-28,1484.98,2026-09-04,7,0.6509,2026-09-25,28,0.678,0.9601,thetadata_eod
