date,spot,near_exp,near_dte,atm_iv_near,monthly_exp,monthly_dte,atm_iv_monthly,term_ratio,source
2026-07-14,555.27,2026-07-17,3,0.7838,2026-08-14,31,0.6545,1.1975,thetadata_eod
2026-07-15,530.5,2026-07-17,2,0.9007,2026-08-14,30,0.7005,1.2858,thetadata_eod
2026-07-16,521.81,2026-07-17,1,0.7867,2026-08-14,29,0.6504,1.2095,thetadata_eod
2026-07-17,521.81,2026-07-24,7,0.6845,2026-08-14,28,0.6839,1.0009,thetadata_eod
2026-07-20,552.69,2026-07-24,4,0.8806,2026-08-21,32,0.6496,1.3555,thetadata_eod
2026-07-21,555.52,2026-07-24,3,0.7134,2026-08-21,31,0.6488,1.0996,thetadata_eod
2026-07-22,551.24,2026-07-24,2,0.7639,2026-08-21,30,0.6605,1.1565,thetadata_eod
2026-07-23,527.01,2026-07-24,1,0.2012,2026-08-21,29,0.6717,0.2995,thetadata_eod
2026-07-24,527.01,2026-07-31,7,0.6975,2026-08-21,28,0.6733,1.0359,thetadata_eod
2026-07-27,491.46,2026-07-31,4,1.0353,2026-08-28,32,0.7573,1.367,thetadata_eod
2026-07-28,465.0,2026-07-31,3,0.9815,2026-08-28,31,0.6914,1.4196,thetadata_eod
2026-07-29,504.53,2026-07-31,2,1.118,2026-08-28,30,0.6134,1.8226,thetadata_eod
2026-07-30,504.89,2026-07-31,1,0.7607,2026-08-28,29,0.607,1.2532,thetadata_eod
2026-07-31,504.89,2026-08-07,7,0.6251,2026-08-28,28,0.5739,1.0892,thetadata_eod
2026-08-03,542.21,2026-08-07,4,0.9343,2026-09-04,32,0.5975,1.5637,thetadata_eod
2026-08-04,530.7,2026-08-07,3,0.8936,2026-09-04,31,0.6157,1.4514,thetadata_eod
2026-08-05,532.52,2026-08-07,2,0.6138,2026-09-04,30,0.5938,1.0337,thetadata_eod
2026-08-06,543.27,2026-08-07,1,0.5896,2026-09-04,29,0.5484,1.0751,thetadata_eod
2026-08-07,543.27,2026-08-14,7,0.4868,2026-09-04,28,0.5158,0.9438,thetadata_eod
2026-08-10,534.2,2026-08-14,4,0.5087,2026-09-11,32,0.5188,0.9805,thetadata_eod
2026-08-11,546.61,2026-08-14,3,0.6025,2026-09-11,31,0.4497,1.3397,thetadata_eod
2026-08-12,550.74,2026-08-14,2,0.5168,2026-09-11,30,0.4576,1.1293,thetadata_eod
2026-08-13,550.42,2026-08-14,1,0.4741,2026-09-11,29,0.4391,1.0797,thetadata_eod
2026-08-14,550.42,2026-08-21,7,0.3561,2026-09-11,28,0.4024,0.885,thetadata_eod
2026-08-17,531.39,2026-08-21,4,0.6893,2026-09-18,32,0.4821,1.4298,thetadata_eod
2026-08-18,519.67,2026-08-21,3,0.5331,2026-09-18,31,0.4267,1.2496,thetadata_eod
2026-08-19,522.35,2026-08-21,2,0.4408,2026-09-18,30,0.4173,1.0564,thetadata_eod
2026-08-20,520.05,2026-08-21,1,0.4324,2026-09-18,29,0.4134,1.046,thetadata_eod
2026-08-21,520.05,2026-08-28,7,0.4057,2026-09-18,28,0.4135,0.9811,thetadata_eod
2026-08-24,514.06,2026-08-28,4,0.467,2026-09-25,32,0.3968,1.1769,thetadata_eod
2026-08-25,515.4,2026-08-28,3,0.4569,2026-09-25,31,0.4123,1.1082,thetadata_eod
2026-08-26,525.43,2026-08-28,2,0.5866,2026-09-25,30,0.3914,1.4986,thetadata_eod
2026-08-27,508.62,2026-08-28,1,0.895,2026-09-25,29,0.4259,2.1014,thetadata_eod
2026-08-28,508.62,2026-09-04,7,0.342,2026-09-25,28,0.3367,1.0156,thetadata_eod
