date,spot,near_exp,near_dte,atm_iv_near,monthly_exp,monthly_dte,atm_iv_monthly,term_ratio,source
2026-07-14,394.46,2026-07-15,1,0.4458,2026-08-14,31,0.4838,0.9216,thetadata_eod
2026-07-15,391.06,2026-07-17,2,0.4947,2026-08-14,30,0.4979,0.9936,thetadata_eod
2026-07-16,380.84,2026-07-17,1,0.7657,2026-08-14,29,0.5218,1.4675,thetadata_eod
2026-07-17,380.84,2026-07-20,3,0.3222,2026-08-14,28,0.4903,0.6572,thetadata_eod
2026-07-20,378.93,2026-07-24,4,0.8316,2026-08-21,32,0.4929,1.6871,thetadata_eod
2026-07-21,374.01,2026-07-24,3,0.8354,2026-08-21,31,0.4854,1.7209,thetadata_eod
2026-07-22,319.69,2026-07-24,2,0.0984,2026-08-21,30,0.8664,0.1135,thetadata_eod
2026-07-23,313.03,2026-07-24,1,0.7293,2026-08-21,29,0.4785,1.5243,thetadata_eod
2026-07-24,313.03,2026-07-27,3,0.3994,2026-08-21,28,0.4851,0.8234,thetadata_eod
2026-07-27,307.44,2026-07-29,2,0.5508,2026-08-28,32,0.4782,1.1518,thetadata_eod
2026-07-28,298.32,2026-07-29,1,0.8822,2026-08-28,31,0.4911,1.7963,thetadata_eod
2026-07-29,308.85,2026-07-31,2,0.8146,2026-08-28,30,0.4875,1.6709,thetadata_eod
2026-07-30,311.21,2026-07-31,1,0.549,2026-08-28,29,0.4577,1.1993,thetadata_eod
2026-07-31,311.21,2026-08-03,3,0.3129,2026-08-28,28,0.4569,0.6849,thetadata_eod
2026-08-03,327.35,2026-08-05,2,0.6109,2026-09-04,32,0.4551,1.3421,thetadata_eod
2026-08-04,321.55,2026-08-05,1,0.6874,2026-09-04,31,0.4673,1.4711,thetadata_eod
2026-08-05,319.53,2026-08-07,2,0.4811,2026-09-04,30,0.4351,1.1056,thetadata_eod
2026-08-06,328.58,2026-08-07,1,1.3217,2026-09-04,29,0.446,2.9632,thetadata_eod
2026-08-07,328.58,2026-08-10,3,0.2931,2026-09-04,28,0.4152,0.7058,thetadata_eod
2026-08-10,332.81,2026-08-12,2,0.411,2026-09-11,32,0.3997,1.0282,thetadata_eod
2026-08-11,327.51,2026-08-12,1,0.5309,2026-09-11,31,0.388,1.3683,thetadata_eod
2026-08-12,339.96,2026-08-14,2,0.6686,2026-09-11,30,0.386,1.7321,thetadata_eod
2026-08-13,342.27,2026-08-14,1,0.4314,2026-09-11,29,0.374,1.1535,thetadata_eod
2026-08-14,342.27,2026-08-17,3,0.2625,2026-09-11,28,0.3786,0.6932,thetadata_eod
2026-08-17,336.87,2026-08-19,2,0.4223,2026-09-18,32,0.3966,1.0648,thetadata_eod
2026-08-18,351.12,2026-08-21,3,0.6285,2026-09-18,31,0.4182,1.503,thetadata_eod
2026-08-19,345.13,2026-08-21,2,0.5432,2026-09-18,30,0.4226,1.2854,thetadata_eod
2026-08-20,362.86,2026-08-21,1,0.0921,2026-09-18,29,0.4579,0.201,thetadata_eod
2026-08-21,362.86,2026-08-24,3,0.3081,2026-09-18,28,0.4083,0.7545,thetadata_eod
2026-08-24,350.25,2026-08-26,2,0.4424,2026-09-25,32,0.4052,1.0918,thetadata_eod
2026-08-25,345.82,2026-08-26,1,0.5236,2026-09-25,31,0.4195,1.2481,thetadata_eod
2026-08-26,354.81,2026-08-28,2,0.5989,2026-09-25,30,0.4176,1.4343,thetadata_eod
2026-08-27,348.75,2026-08-28,1,0.5987,2026-09-25,29,0.3981,1.504,thetadata_eod
2026-08-28,348.75,2026-08-31,3,0.2511,2026-09-25,28,0.3848,0.6526,thetadata_eod
