date,spot,near_exp,near_dte,atm_iv_near,monthly_exp,monthly_dte,atm_iv_monthly,term_ratio,source
2026-07-14,17.31,2026-07-17,3,1.0558,2026-08-14,31,0.9189,1.149,thetadata_eod
2026-07-15,15.91,2026-07-17,2,0.547,2026-08-14,30,1.0183,0.5372,thetadata_eod
2026-07-16,15.65,2026-07-17,1,1.0984,2026-08-14,29,0.9637,1.1398,thetadata_eod
2026-07-17,15.65,2026-07-24,7,0.9101,2026-08-14,28,0.9604,0.9477,thetadata_eod
2026-07-20,15.8,2026-07-24,4,1.1997,2026-08-21,32,0.9581,1.2522,thetadata_eod
2026-07-21,15.82,2026-07-24,3,0.9925,2026-08-21,31,1.0056,0.987,thetadata_eod
2026-07-22,15.14,2026-07-24,2,1.3852,2026-08-21,30,1.0144,1.3656,thetadata_eod
2026-07-23,14.15,2026-07-24,1,0.4877,2026-08-21,29,1.0592,0.4605,thetadata_eod
2026-07-24,14.15,2026-07-31,7,0.9361,2026-08-21,28,0.9711,0.964,thetadata_eod
2026-07-27,14.06,2026-07-31,4,1.2295,2026-08-28,32,1.0736,1.1453,thetadata_eod
2026-07-28,13.07,2026-07-31,3,1.4424,2026-08-28,31,1.0793,1.3365,thetadata_eod
2026-07-29,14.65,2026-07-31,2,0.3197,2026-08-28,30,0.9034,0.3538,thetadata_eod
2026-07-30,14.95,2026-07-31,1,1.1816,2026-08-28,29,1.0301,1.1471,thetadata_eod
2026-07-31,14.95,2026-08-07,7,0.968,2026-08-28,28,1.0176,0.9513,thetadata_eod
2026-08-03,17.275,2026-08-07,4,1.399,2026-09-04,32,0.9863,1.4184,thetadata_eod
2026-08-04,17.16,2026-08-07,3,1.2915,2026-09-04,31,1.0732,1.2034,thetadata_eod
2026-08-05,17.41,2026-08-07,2,1.1918,2026-09-04,30,1.0481,1.1372,thetadata_eod
2026-08-06,19.33,2026-08-07,1,0.3119,2026-09-04,29,1.0834,0.2879,thetadata_eod
2026-08-07,19.33,2026-08-14,7,1.133,2026-09-04,28,1.0332,1.0966,thetadata_eod
2026-08-10,18.91,2026-08-14,4,1.3969,2026-09-11,32,1.0018,1.3944,thetadata_eod
2026-08-11,18.41,2026-08-14,3,1.0331,2026-09-11,31,0.8358,1.2361,thetadata_eod
2026-08-12,18.61,2026-08-14,2,0.973,2026-09-11,30,0.8894,1.094,thetadata_eod
2026-08-13,20.0,2026-08-14,1,0.0925,2026-09-11,29,0.8467,0.1092,thetadata_eod
2026-08-14,20.0,2026-08-21,7,0.8471,2026-09-11,28,0.8759,0.967,thetadata_eod
2026-08-17,18.51,2026-08-21,4,0.9973,2026-09-18,32,0.8955,1.1137,thetadata_eod
2026-08-18,18.09,2026-08-21,3,1.0945,2026-09-18,31,0.8591,1.274,thetadata_eod
2026-08-19,17.11,2026-08-21,2,1.2444,2026-09-18,30,0.9249,1.3455,thetadata_eod
2026-08-20,19.26,2026-08-21,1,0.1893,2026-09-18,29,0.8412,0.225,thetadata_eod
2026-08-21,19.26,2026-08-28,7,0.8703,2026-09-18,28,0.8888,0.9792,thetadata_eod
2026-08-24,19.41,2026-08-28,4,1.1206,2026-09-25,32,0.9136,1.2265,thetadata_eod
2026-08-25,18.92,2026-08-28,3,1.079,2026-09-25,31,0.9096,1.1862,thetadata_eod
2026-08-26,19.25,2026-08-28,2,1.0189,2026-09-25,30,0.9077,1.1226,thetadata_eod
2026-08-27,17.99,2026-08-28,1,0.1228,2026-09-25,29,0.8691,0.1413,thetadata_eod
2026-08-28,17.99,2026-09-04,7,0.8408,2026-09-25,28,0.8281,1.0153,thetadata_eod
