date,spot,near_exp,near_dte,atm_iv_near,monthly_exp,monthly_dte,atm_iv_monthly,term_ratio,source
2026-07-14,12.67,2026-07-17,3,1.1773,2026-08-14,31,0.8616,1.3664,thetadata_eod
2026-07-15,11.67,2026-07-17,2,0.3412,2026-08-14,30,0.895,0.3812,thetadata_eod
2026-07-16,11.49,2026-07-17,1,0.9166,2026-08-14,29,0.8371,1.0949,thetadata_eod
2026-07-17,11.49,2026-07-24,7,0.8039,2026-08-14,28,0.8519,0.9437,thetadata_eod
2026-07-20,12.35,2026-07-24,4,1.15,2026-08-21,32,0.8181,1.4057,thetadata_eod
2026-07-21,12.31,2026-07-24,3,0.922,2026-08-21,31,0.8175,1.1278,thetadata_eod
2026-07-22,12.01,2026-07-24,2,0.9453,2026-08-21,30,0.8265,1.1436,thetadata_eod
2026-07-23,11.3,2026-07-24,1,0.479,2026-08-21,29,0.8492,0.564,thetadata_eod
2026-07-24,11.3,2026-07-31,7,0.7936,2026-08-21,28,0.8316,0.9543,thetadata_eod
2026-07-27,11.33,2026-07-31,4,0.8692,2026-08-28,32,0.8189,1.0615,thetadata_eod
2026-07-28,10.74,2026-07-31,3,1.2412,2026-08-28,31,0.8639,1.4368,thetadata_eod
2026-07-29,11.71,2026-07-31,2,0.6425,2026-08-28,30,0.7658,0.839,thetadata_eod
2026-07-30,11.44,2026-07-31,1,1.1431,2026-08-28,29,0.8449,1.353,thetadata_eod
2026-07-31,11.44,2026-08-07,7,0.9712,2026-08-28,28,0.8558,1.1349,thetadata_eod
2026-08-03,12.86,2026-08-07,4,1.3212,2026-09-04,32,0.8804,1.5007,thetadata_eod
2026-08-04,12.44,2026-08-07,3,1.3085,2026-09-04,31,0.9607,1.362,thetadata_eod
2026-08-05,12.9,2026-08-07,2,1.3431,2026-09-04,30,0.8683,1.5469,thetadata_eod
2026-08-06,14.14,2026-08-07,1,0.3467,2026-09-04,29,1.0219,0.3393,thetadata_eod
2026-08-07,14.14,2026-08-14,7,0.7815,2026-09-04,28,0.7732,1.0107,thetadata_eod
2026-08-10,14.78,2026-08-14,4,1.0506,2026-09-11,32,0.779,1.3488,thetadata_eod
2026-08-11,14.47,2026-08-14,3,0.8783,2026-09-11,31,0.8803,0.9978,thetadata_eod
2026-08-12,14.58,2026-08-14,2,0.7999,2026-09-11,30,0.7115,1.1243,thetadata_eod
2026-08-13,15.1,2026-08-14,1,1.2413,2026-09-11,29,0.7376,1.6829,thetadata_eod
2026-08-14,15.1,2026-08-21,7,0.6537,2026-09-11,28,0.6717,0.9732,thetadata_eod
2026-08-17,14.09,2026-08-21,4,0.9006,2026-09-18,32,0.7561,1.1912,thetadata_eod
2026-08-18,14.85,2026-08-21,3,1.01,2026-09-18,31,0.7261,1.3909,thetadata_eod
2026-08-19,13.9,2026-08-21,2,0.3831,2026-09-18,30,0.7622,0.5026,thetadata_eod
2026-08-20,15.14,2026-08-21,1,0.324,2026-09-18,29,0.7515,0.4311,thetadata_eod
2026-08-21,15.14,2026-08-28,7,0.7477,2026-09-18,28,0.749,0.9983,thetadata_eod
2026-08-24,15.97,2026-08-28,4,1.0576,2026-09-25,32,0.7626,1.3869,thetadata_eod
2026-08-25,15.7,2026-08-28,3,0.9368,2026-09-25,31,0.7367,1.2716,thetadata_eod
2026-08-26,15.74,2026-08-28,2,0.8186,2026-09-25,30,0.665,1.2309,thetadata_eod
2026-08-27,14.67,2026-08-28,1,0.382,2026-09-25,29,0.8284,0.4611,thetadata_eod
2026-08-28,14.67,2026-09-04,7,0.6457,2026-09-25,28,0.8017,0.8053,thetadata_eod
