date,equity_call_oi,equity_put_oi,equity_pcr_oi,index_call_oi,index_put_oi,index_pcr_oi,occ_total_oi
2023-06-01,222553665,196339533,0.8822,18155326,18847562,1.0381,456287631
2023-06-02,224336481,199596507,0.8897,18573093,19284032,1.0383,462199573
2023-06-05,222722796,195650490,0.8784,18641850,19109386,1.0251,456543762
2023-06-06,226130518,198961494,0.8799,18878956,19456507,1.0306,463855770
2023-06-07,230811436,202398829,0.8769,19195587,19816174,1.0323,472654454
2023-06-08,234310371,205967284,0.879,19610261,20205938,1.0304,480536581
2023-06-09,235303529,208497694,0.8861,19862302,20556462,1.0349,484669045
2023-06-12,232653405,206065371,0.8857,20152155,20656219,1.025,479988710
2023-06-13,236316915,209565331,0.8868,20576958,20863252,1.0139,487788126
2023-06-14,240303637,213010580,0.8864,20800164,21157388,1.0172,495750094
2023-06-15,242230433,216648590,0.8944,21163870,21649022,1.0229,502161411
2023-06-16,228028507,214233404,0.9395,19770233,21924465,1.109,484433031
2023-06-20,194869727,169029857,0.8674,19631434,18382136,0.9364,402380252
2023-06-21,199169732,172044853,0.8638,19959827,16949430,0.8492,408588906
2023-06-22,202701759,175771179,0.8671,16253784,17006891,1.0463,412135122
2023-06-23,205171053,177027485,0.8628,16572890,17288913,1.0432,416461291
2023-06-26,201836867,175078214,0.8674,16758060,17206680,1.0268,411284130
2023-06-27,205250599,178981447,0.872,16908975,17446395,1.0318,418994985
2023-06-28,208721900,181425376,0.8692,17275819,17661827,1.0223,425498388
2023-06-29,211971659,184019398,0.8681,17460309,17828061,1.0211,431693033
2023-06-30,211977079,187635170,0.8852,17561538,18580317,1.058,436171076
2023-07-03,206884950,179201189,0.8662,17477829,17430545,0.9973,421412447
2023-07-05,210452346,182332613,0.8664,17700170,17738457,1.0022,428649957
2023-07-06,213978165,185610022,0.8674,18054580,18180330,1.007,436228474
2023-07-07,216052837,187530905,0.868,18329141,18367478,1.0021,440683185
2023-07-10,214070347,185971799,0.8687,18372253,18255160,0.9936,437078810
2023-07-11,218507833,189311663,0.8664,18693015,18463165,0.9877,445395502
2023-07-12,221799744,192978865,0.8701,19065824,18861478,0.9893,453142334
2023-07-13,225733974,197120643,0.8732,19149247,19181189,1.0017,461631039
2023-07-14,227165945,199741756,0.8793,19464870,19536161,1.0037,466357197
2023-07-17,225766205,197304814,0.8739,19701393,19519042,0.9907,462744878
2023-07-18,229810619,201117217,0.8751,20109994,19763475,0.9828,471263502
2023-07-19,234137388,204893576,0.8751,20616055,19231087,0.9328,479350500
2023-07-20,237695662,207928622,0.8748,17302981,19292914,1.115,482628263
2023-07-21,224946022,206963587,0.9201,16996198,19555848,1.1506,468866813
2023-07-24,204386165,177827388,0.8701,17085754,17719328,1.0371,417436447
2023-07-25,208765391,182229661,0.8729,17207284,17933663,1.0422,426552102
2023-07-26,212696080,185198503,0.8707,17401058,18275245,1.0502,433989348
2023-07-27,216807016,189375645,0.8735,17593460,18556623,1.0547,442749738
2023-07-28,218185028,192581829,0.8827,17698002,18921316,1.0691,447801169
2023-07-31,215531919,188400185,0.8741,17716079,18848655,1.0639,440911589
2023-08-01,220204332,191987975,0.8719,18209353,18687889,1.0263,449508070
2023-08-02,224606188,195809455,0.8718,18574625,19105495,1.0286,458502534
2023-08-03,228301617,199591674,0.8742,18781998,19359229,1.0307,466431384
2023-08-04,230812959,200488855,0.8686,19052318,19709921,1.0345,470462489
2023-08-07,225360858,197966150,0.8784,18945014,19741269,1.042,462409314
2023-08-08,229445550,200881441,0.8755,19048875,19955051,1.0476,469725628
2023-08-09,233706637,203746687,0.8718,19397381,20161764,1.0394,477462011
2023-08-10,237198056,207068805,0.873,19584086,20315055,1.0373,484601123
2023-08-11,239429313,207188415,0.8653,19802044,20437367,1.0321,487267627
2023-08-14,234584884,205917923,0.8778,19854835,20312928,1.0231,481096325
2023-08-15,238556312,208811512,0.8753,20240284,20583277,1.0169,488607090
2023-08-16,242555704,210779699,0.869,20315682,20415426,1.0049,494489050
2023-08-17,246647820,213259620,0.8646,17710129,19489157,1.1005,497490265
2023-08-18,244551425,207889353,0.8501,17839422,19694123,1.104,490353366
2023-08-21,213872200,188875909,0.8831,17450951,18563769,1.0638,439139570
2023-08-22,218442261,191189725,0.8752,17692505,18595336,1.051,446291148
2023-08-23,221987086,194044124,0.8741,17874788,18821689,1.053,453105171
2023-08-24,225760512,195792338,0.8673,18019073,18812702,1.044,458762101
2023-08-25,227454037,195411266,0.8591,18173426,19127352,1.0525,460548221
2023-08-28,221793703,192682221,0.8687,18198620,18923552,1.0398,451991734
2023-08-29,225696612,196232090,0.8695,18467276,19183779,1.0388,459987620
2023-08-30,229201460,198708564,0.867,18731997,19396888,1.0355,466447616
2023-08-31,232387135,201243177,0.866,19076785,19505910,1.0225,472630468
2023-09-01,232913143,203121314,0.8721,19133651,19448459,1.0165,475039220
2023-09-05,230426969,199234745,0.8646,19315155,19313699,0.9999,468715340
2023-09-06,233735901,201176023,0.8607,19585105,19567709,0.9991,474490395
2023-09-07,237361848,203709646,0.8582,19701220,19770359,1.0035,480968378
2023-09-08,239605797,205162768,0.8563,19876540,20033039,1.0079,485109318
2023-09-11,237330679,203814449,0.8588,20007220,19982499,0.9988,481574545
2023-09-12,241102530,206779458,0.8576,20329081,20080789,0.9878,488734329
2023-09-13,243698274,209097963,0.858,20658203,20167192,0.9762,494073871
2023-09-14,246014414,212726069,0.8647,20947606,20499053,0.9786,500655445
2023-09-15,238666685,207456178,0.8692,20448251,20281740,0.9919,487321148
2023-09-18,204523125,175840093,0.8598,19556770,17483663,0.894,417874452
2023-09-19,208648835,179271417,0.8592,20200240,17839044,0.8831,426424916
2023-09-20,212877251,181471467,0.8525,20640468,16809162,0.8144,432264384
2023-09-21,217512193,184480844,0.8481,17309455,16930051,0.9781,436627743
