date,spot,net_gex,flip,primary_flip,call_wall,put_wall,call_wall_class,put_wall_class,pcr_oi_all,pcr_oi_near,net_vanna,net_charm
2008-01-02,144.93,-2068862381.0,,,150.0,135.0,WEAK,WEAK,1.722,,362983413.0,2808214.0
2008-01-03,144.86,-2272773912.0,,,150.0,135.0,WEAK,WEAK,1.724,,383254187.0,9083071.0
2008-01-04,141.31,-2235931775.0,,,150.0,135.0,WEAK,WEAK,1.732,,322903203.0,21356879.0
2008-01-07,141.19,-2552055176.0,,,150.0,135.0,WEAK,WEAK,1.713,,332456063.0,30902425.0
2008-01-08,138.91,-2444204461.0,,,150.0,135.0,WEAK,WEAK,1.683,,193132294.0,5016776.0
2008-01-09,140.37,-2792750242.0,,,150.0,135.0,WEAK,WEAK,1.657,,321264719.0,45496403.0
2008-01-10,141.29,-2474982602.0,,,150.0,135.0,WEAK,WEAK,1.637,,447911414.0,168104442.0
2008-01-11,140.15,-2893293660.0,,,145.0,135.0,WEAK,WEAK,1.636,,398656740.0,148388062.0
2008-01-14,141.28,-1803397055.0,,,145.0,135.0,WEAK,WEAK,1.618,1.551,478185605.0,372166713.0
2008-01-15,138.17,-2536752919.0,,,145.0,135.0,WEAK,WEAK,1.611,1.551,298072802.0,394079919.0
2008-01-16,136.98,-9390621505.0,,,145.0,135.0,WEAK,PRIMARY,1.552,1.474,240084300.0,447327551.0
2008-01-17,133.43,-1614474592.0,,,145.0,135.0,WEAK,WEAK,1.545,1.366,106933531.0,630525670.0
2008-01-18,132.06,-2142234033.0,,,145.0,135.0,WEAK,WEAK,1.473,1.226,96134050.0,1463727558.0
2008-01-22,130.72,-2003025152.0,,,,135.0,REMOTE,PRIMARY,1.561,,35645728.0,-8085990.0
2008-01-23,133.86,-1599609920.0,,,145.0,135.0,WEAK,PRIMARY,1.531,,230568071.0,45077244.0
2008-01-24,134.99,-1119425314.0,,,145.0,135.0,WEAK,PRIMARY,1.491,,261556387.0,71247204.0
2008-01-25,133.04,-1408529243.0,,,145.0,135.0,WEAK,PRIMARY,1.501,,284983686.0,60507538.0
2008-01-28,135.24,-890950612.0,,,145.0,135.0,WEAK,PRIMARY,1.507,,310348825.0,119283314.0
2008-01-29,135.91,-990812842.0,,,145.0,135.0,WEAK,PRIMARY,1.517,,320400368.0,88212465.0
2008-01-30,134.91,-1325291833.0,,,145.0,135.0,WEAK,PRIMARY,1.506,,364153193.0,110292004.0
2008-01-31,137.37,-778924242.0,,,145.0,135.0,WEAK,PRIMARY,1.479,,352831492.0,154589281.0
2008-02-01,139.58,-523045001.0,,,140.0,135.0,WEAK,PRIMARY,1.499,,419838852.0,155389382.0
2008-02-04,137.82,-1068711413.0,,,140.0,135.0,WEAK,PRIMARY,1.514,,435118518.0,158782149.0
2008-02-05,134.13,-1971681933.0,,,140.0,135.0,WEAK,PRIMARY,1.522,,403972222.0,224675533.0
2008-02-06,133.05,-2717307246.0,,,140.0,135.0,WEAK,PRIMARY,1.514,,353799342.0,252046580.0
2008-02-07,133.93,-2081958857.0,,,145.0,135.0,WEAK,PRIMARY,1.525,,438740710.0,309969826.0
2008-02-08,133.07,-2930271804.0,,,140.0,135.0,WEAK,PRIMARY,1.527,,425801902.0,368492236.0
2008-02-11,133.75,-1921921470.0,,,140.0,135.0,WEAK,WEAK,1.518,1.415,480048381.0,623669733.0
2008-02-12,134.99,-1636631351.0,,,140.0,135.0,WEAK,WEAK,1.511,1.388,501200458.0,730657587.0
2008-02-13,136.37,-1069896762.0,,,140.0,135.0,WEAK,PRIMARY,1.525,1.428,543084196.0,921266063.0
2008-02-14,135.17,-1968532513.0,,,140.0,135.0,WEAK,PRIMARY,1.512,1.362,549999915.0,1255200190.0
2008-02-15,135.14,-2488059316.0,,,140.0,135.0,WEAK,PRIMARY,1.508,1.334,561637800.0,2589382988.0
2008-02-19,135.52,-1518018874.0,,,145.0,135.0,WEAK,PRIMARY,1.605,,520632413.0,114536704.0
2008-02-20,135.92,-1233229264.0,,,145.0,135.0,WEAK,PRIMARY,1.593,,551899391.0,136073055.0
2008-02-21,134.79,-2176841989.0,,,145.0,135.0,WEAK,PRIMARY,1.608,,539435491.0,117273974.0
2008-02-22,135.62,-1477322017.0,,,145.0,135.0,WEAK,PRIMARY,1.596,,554082321.0,139734650.0
2008-02-25,137.33,-756413932.0,,,140.0,135.0,WEAK,PRIMARY,1.632,,540812710.0,181897201.0
2008-02-26,138.36,-110914285.0,,,140.0,135.0,WEAK,PRIMARY,1.615,,548378361.0,201375193.0
2008-02-27,138.22,-179543411.0,,,140.0,135.0,WEAK,PRIMARY,1.584,,573888493.0,218356691.0
2008-02-28,136.87,-1583906071.0,,,140.0,135.0,WEAK,PRIMARY,1.575,,620585831.0,212006411.0
2008-02-29,133.82,-2621121564.0,,,140.0,135.0,WEAK,WEAK,1.596,,430554164.0,124527954.0
2008-03-03,133.5,-2724885267.0,,,140.0,135.0,WEAK,WEAK,1.587,,423538437.0,162611417.0
2008-03-04,132.99,-3150819220.0,,,140.0,135.0,WEAK,WEAK,1.579,,422084519.0,173750484.0
